Cluster,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Class,Diam,Dist,E(B-V),Age,pmRA,e_pmRA,pmDE,e_pmDE,Nc,r_pmRA,RV,e_RV,o_RV,r_RV,[Fe/H],e_[Fe/H],o_[Fe/H],TrType
Collinder 271,13,29,54,-,64,12,0,,5.0,1169,0.287,8.322,-4.29,0.41,-2.83,0.33,269,D14,,,0,,,,0,
FSR 1657,13,30,1,-,58,44,33,IR,1.4,5409,0.729,9.0,-7.02,0.66,-0.35,0.7,51,D14,,,0,,,,0,
Collinder 272,13,30,26,-,61,19,0,,10.0,2095,0.604,7.02,-4.5,0.41,-2.0,0.41,121,K14,-32.2,8.2,4,K14,0.06,0.09,0,
NGC 5168,13,31,6,-,60,56,24,,4.0,1777,0.431,8.001,-3.95,0.27,-3.05,0.32,135,D14,,,0,,,,0,
ESO 383 10,13,31,30,-,35,3,56,cr,6.0,1000,0.0,9.3,2.6,2.44,1.4,1.72,9,D14,,,0,,,,0,3-2-p-*
Ruprecht 108,13,32,11,-,58,28,0,,10.0,901,0.136,8.424,-10.06,1.15,-3.25,1.02,2,BDW,,,0,,,,0,
Trumpler 21,13,32,14,-,62,48,0,,5.0,1263,0.197,7.696,-3.62,0.27,-3.36,0.39,167,D14,,,0,,,,0,
Loden 848,13,34,6,-,64,31,0,,11.0,1797,0.396,8.75,-3.46,0.17,-3.54,0.16,783,D14,,,0,,,,0,3-3-m-*
Loden 915,13,34,6,-,59,15,0,,32.0,500,0.15,8.44,-4.29,0.11,-3.41,0.08,2994,D14,-21.61,11.76,1,RAVE,,,0,4-3-p-*
C1331 622,13,34,12,-,62,25,2,v,7.0,819,0.23,,-1.59,0.26,-4.43,0.23,243,D14,-35.0,2.5,1,D14,,,0,
Collinder 275,13,34,39,-,60,12,0,,11.0,1952,0.458,8.6,-1.93,0.23,-3.84,0.18,440,D14,,,0,,,,0,3-3-p-*
ASCC 74,13,35,49,-,58,48,36,,24.0,550,0.05,8.5,-12.0,0.71,-0.32,0.95,7,K05,,,0,,,,0,
ESO 132 14,13,36,30,-,62,12,49,p,3.0,1100,0.0,8.9,-2.87,0.58,-5.23,0.66,70,D14,,,0,,,,0,
Pismis 18,13,36,55,-,62,5,36,,4.0,2240,0.5,9.08,-2.43,0.32,-5.11,0.33,153,D14,-27.9,0.8,12,C14,,,0,
Loden 894,13,39,41,-,64,20,0,,9.0,1423,0.729,9.04,-3.57,0.18,-4.89,0.12,336,D14,,,0,,,,0,4-3-p-*
BH 151,13,40,11,-,61,43,52,,1.0,3800,,,0.05,1.6,-6.2,1.5,28,D14,,,0,,,,0,1-2-m-n
SAI 118,13,43,4,-,63,9,53,,8.0,1140,0.17,9.75,-3.39,0.27,-5.39,0.24,287,D14,15.63,9.04,1,D14,,,0,
Dias 4,13,43,25,-,63,0,48,,6.4,2150,0.6,9.1,-4.26,0.38,-5.25,0.28,171,D14,,,0,,,,0,
Platais 10,13,43,28,-,59,7,18,o,324.0,246,,8.0,-30.27,0.39,-11.04,0.39,4,PLA,-13.95,1.06,25,D14,,,0,
NGC 5269,13,44,44,-,62,54,54,,3.0,1410,0.52,8.2,-1.68,0.36,-6.25,0.43,70,D14,,,0,,,,0,
Loden 1010,13,44,48,-,60,17,0,,31.0,700,0.2,8.69,-9.49,0.62,0.47,0.59,7,KHA,-18.69,4.26,3,D14,,,0,4-3-m-*
Loden 991,13,45,24,-,62,1,0,,5.0,1089,0.21,9.35,-4.63,0.49,-3.66,0.38,97,D14,,,0,,-0.05,0.28,0,4-2-p-*
NGC 5281,13,46,35,-,62,55,0,,7.0,1108,0.225,7.146,-3.39,0.3,-6.31,0.31,190,D14,-18.52,0.75,6,FM09,0.0,0.11,0,
ASCC 75,13,47,10,-,62,25,12,,20.4,3000,0.3,6.65,-4.35,0.12,-6.64,0.11,1117,D14,-38.17,0.42,2,D14,,,0,
Platais 11,13,47,57,-,66,1,12,o,180.0,232,,8.3,-13.22,0.42,-8.71,0.45,4,PLA,,,0,,,,0,
Collinder 277,13,48,24,-,66,4,0,,15.0,2204,0.416,8.3,-5.25,0.14,-6.42,0.1,1062,D14,,,0,,,,0,4-1-m-*
NGC 5288,13,48,44,-,64,41,6,,3.0,2158,0.65,8.25,-5.12,0.37,-5.98,0.56,124,D14,,,0,,,,0,2-1-p-*
Platais 12,13,51,44,-,63,27,12,o,120.0,435,0.1,8.23,-8.29,0.28,-5.04,0.35,7,PLA,-38.2,0.4,2,D14,-0.007,0.054,20,
Loden 995,13,51,56,-,64,52,30,,26.5,2400,0.3,8.34,-4.95,0.09,-5.71,0.07,2858,D14,-6.06,1.22,1,RAVE,-0.131,0.09,1,
ASCC 76,13,52,16,-,66,24,0,,42.0,600,0.27,7.45,-4.12,0.5,-3.34,0.44,11,K05,-19.9,4.56,2,D14,,,0,
Loden 1095,13,53,30,-,59,45,0,,13.0,4028,0.854,8.55,-3.74,0.17,-4.85,0.08,551,D14,,,0,,,,0,4-2-p-*
NGC 5316,13,53,57,-,61,52,6,,14.0,1215,0.267,8.202,-4.36,0.09,-3.91,0.12,672,D14,-15.1,0.28,4,MMU,-0.02,,0,
Loden 1002,13,54,18,-,65,19,0,d,8.0,1332,0.396,8.0,-5.03,0.2,-5.85,0.13,332,D14,,,0,,,,0,4-2-p-*
ESO 445 74,13,54,39,-,31,57,30,,2.5,2048,0.85,8.2,-7.25,0.61,-1.09,0.61,8,K14,,,0,,,,0,3-2-vp-*
Loden 1101,13,58,18,-,61,47,0,,10.0,2088,0.625,6.55,-6.1,0.21,-5.23,0.04,323,D14,,,0,,,,0,3-2-m-*
Loden 1177,13,59,18,-,57,51,0,d,13.0,4167,0.625,9.175,-1.6,0.2,-5.96,0.15,573,D14,,,0,,,,0,
Loden 1171,13,59,24,-,58,23,0,,11.0,500,0.2,8.45,-12.95,0.41,-6.07,0.44,5,KHA,,,0,,,,0,3-2-m-*
Loden 1152,13,59,30,-,59,21,0,,11.0,1711,0.573,8.065,-2.31,0.18,-4.22,0.12,469,D14,,,0,,,,0,4-2-p-*
Lynga 1,14,0,2,-,62,9,0,,3.0,1900,0.45,8.0,-4.0,0.19,-5.75,0.48,67,D14,-24.31,0.52,6,FM09,0.04,0.1,0,
NGC 5359,14,0,9,-,70,23,30,n,16.0,2500,0.1,8.3,-3.48,0.17,-3.06,0.14,670,D14,,,0,,,,0,
NGC 5381,14,0,41,-,59,35,12,,11.0,2630,0.46,8.4,-1.77,0.14,-4.92,0.12,527,D14,,,0,,,,0,2-2-m-*
Loden 1202,14,4,24,-,58,42,0,,7.0,1063,0.833,8.645,-2.37,0.23,-5.56,0.01,148,D14,,,0,,,,0,4-2-m-*
