Cluster,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Class,Diam,Dist,E(B-V),Age,pmRA,e_pmRA,pmDE,e_pmDE,Nc,r_pmRA,RV,e_RV,o_RV,r_RV,[Fe/H],e_[Fe/H],o_[Fe/H],TrType
Berkeley 58,0,0,12,+,60,58,0,,11.0,2700,0.72,8.47,0.56,0.26,1.56,0.26,88,K14,-87.0,1.78,1,D14,,,0,
NGC 7801,0,0,21,+,50,44,30,r,8.0,1275,0.17,9.23,-3.56,0.36,-2.6,0.24,85,D14,,,0,,,,0,4-3-p-*
FSR 0459,0,0,39,+,59,14,20,IR,2.0,3800,1.103,8.95,-1.66,0.59,-0.01,0.59,8,K12,,,0,,,,0,
Stock 18,0,1,37,+,64,37,30,,6.0,1242,0.71,8.1,-2.78,0.15,-0.15,0.08,109,D14,,,0,,,,0,4-2-p-*
Berkeley 59,0,2,14,+,67,25,0,,10.0,1000,1.241,6.1,-2.11,0.81,-1.2,0.75,2,BDW,-5.17,9.48,3,D14,,,0,3-3-m-n
Berkeley 104,0,3,30,+,63,35,0,,3.0,4365,0.45,8.89,-2.35,0.31,-0.3,0.03,76,D14,,,0,,0.07,,0,4-2-p-*
Blanco 1,0,4,7,-,29,50,0,,70.0,269,0.01,7.796,20.17,0.51,3.0,0.51,27,TYC,5.53,0.11,49,M09,0.04,0.02,8,
Stock 19,0,4,41,+,56,5,0,,4.0,0,,,1.43,0.58,-2.04,0.19,42,D14,,,0,,,,0,2-2-p-*
NGC 7826,0,5,17,-,20,41,30,r,20.0,620,0.03,9.34,6.48,1.97,-6.2,1.18,39,D14,-4.62,2.39,1,D14,,,0,4-2-p-*
Majaess 1,0,7,22,+,64,58,22,IR,5.0,0,,,4.63,0.64,1.72,0.48,20,D14,,,0,,,,0,
Czernik 1,0,7,38,+,61,28,30,,2.5,2530,1.23,6.7,-3.83,0.86,1.66,0.86,5,K12,,,0,,,,0,4-2-m-*
SAI 1,0,8,20,+,51,43,15,,4.0,2170,0.34,9.1,0.31,0.92,-0.88,0.53,35,D14,,,0,,,,0,
Berkeley 1,0,9,36,+,60,28,30,,5.0,2420,0.78,8.6,-1.83,0.37,-0.75,0.27,135,D14,,,0,,,,0,3-1-p-*
ASCC 1,0,9,36,+,62,40,48,,24.0,4000,0.16,8.25,-3.27,0.08,1.19,0.04,1189,D14,-74.1,0.39,3,D14,,,0,
King 13,0,10,6,+,61,10,0,,5.0,3100,0.82,8.5,-4.15,0.11,-2.46,0.02,127,D14,,,0,,,,0,2-2-m-*
Alessi 20,0,10,34,+,58,45,36,e,40.0,600,0.22,6.48,8.73,0.53,-3.11,0.53,17,MAD,-11.5,4.2,1,D14,,,0,
FSR 0474,0,10,53,+,59,44,50,IR,4.6,4638,1.145,8.9,-0.41,0.38,-0.81,0.12,53,D14,,,0,,,,0,
FSR 0480,0,14,55,+,61,28,23,IR,1.5,5492,0.937,9.3,-1.66,0.57,-1.81,0.12,24,D14,,,0,,,,0,
Juchert Saloran 1,0,16,20,+,59,57,43,,5.0,3859,0.83,9.05,-0.59,0.54,0.58,0.19,60,D14,,,0,,,,0,
Majaess 8,0,16,43,+,64,30,21,IR,3.0,0,,,-2.38,0.03,2.06,0.41,24,D14,,,0,,,,0,
Berkeley 60,0,17,42,+,60,56,0,,3.0,4365,0.86,8.2,-3.64,0.42,0.2,0.39,40,D14,,,0,,0.07,,0,3-1-p-*
ASCC 2,0,19,52,+,55,42,36,,36.0,1200,0.1,8.83,-1.56,0.33,-1.34,0.33,20,K12,,,0,,,,0,
FSR 0486,0,20,21,+,59,19,5,IR,2.5,1850,0.55,8.9,-2.1,0.87,-2.11,0.87,5,K12,,,0,,,,0,
Majaess 9,0,21,13,+,63,19,28,IR,2.0,0,,,,,,,0,,,,0,,,,0,
Mayer 1,0,21,54,+,61,45,0,,7.0,1430,0.5,7.74,-1.68,0.33,-1.18,0.05,122,D14,-20.9,2.0,1,D14,,,0,4-2-p-n
King 1,0,22,4,+,64,22,50,d,24.6,1080,0.76,9.6,-2.43,0.1,1.02,0.06,700,D14,-38.4,11.6,10,CC15,-0.01,0.52,10,2-2-r-*
SAI 4,0,23,40,+,62,42,14,,4.0,1600,0.27,8.7,-1.8,0.22,3.0,0.26,64,D14,-100.7,10.0,1,D14,,,0,
Stock 20,0,25,15,+,62,37,0,,4.0,1100,0.2,8.337,-2.53,0.24,2.51,0.25,82,D14,,,0,,,,0,2-2-p-*
NGC 103,0,25,16,+,61,19,24,,4.0,3026,0.406,8.126,-3.44,0.04,-0.32,0.05,101,D14,-116.7,10.0,1,D14,,,0,
Berkeley 2,0,25,18,+,60,24,0,,2.0,5250,0.8,8.9,0.88,0.54,-2.5,0.54,14,K12,,,0,,,,0,
FSR 0494,0,25,32,+,63,45,28,IR,0.8,5087,0.521,9.3,-2.87,0.29,-2.72,0.29,9,K12,,,0,,,,0,
FSR 0496,0,26,58,+,64,2,0,IR,4.9,1123,0.77,9.055,-1.13,0.23,0.09,0.28,64,D14,,,0,,,,0,
NGC 110,0,27,25,+,71,23,0,,12.0,1290,0.42,9.0,0.01,0.16,-3.47,0.09,408,D14,,,0,,,,0,-1-p-*
SAI 6,0,27,53,+,60,41,21,,5.0,2700,0.89,8.5,0.51,0.17,-0.03,0.17,77,D14,,,0,,,,0,
FSR 0498,0,29,13,+,62,24,57,IR,1.5,1800,0.15,8.55,-3.62,0.76,-0.1,0.14,19,D14,,,0,,-0.34,0.07,1,
NGC 129,0,30,0,+,60,13,6,,19.0,1625,0.548,7.886,-1.23,0.07,-0.51,0.03,764,D14,-37.36,0.46,2,MMU,,,0,
Stock 21,0,30,25,+,57,55,25,,4.0,1700,0.416,8.825,-2.45,0.24,-2.72,0.1,62,D14,,,0,,,,0,4-2-p-*
ASCC 3,0,31,9,+,55,16,48,,25.2,1700,0.17,7.9,0.85,0.12,-2.75,0.06,877,D14,-37.0,7.4,1,D14,,,0,
NGC 133,0,31,19,+,63,21,0,,7.0,630,0.6,7.0,-0.7,4.7,-0.4,3.6,8,Car,,,0,,,,0,4-1-p-*
NGC 136,0,31,33,+,61,30,30,,4.0,5220,0.7,8.4,-0.38,0.14,1.21,0.16,100,D14,,,0,,-0.05,0.06,1,
King 14,0,32,3,+,63,9,20,,8.0,2960,0.34,7.9,-2.25,0.19,0.73,0.01,227,D14,,,0,,,,0,
King 15,0,32,54,+,61,52,0,,3.0,3162,0.7,8.4,0.32,0.14,0.49,0.01,48,D14,,,0,,0.07,,0,
NGC 146,0,32,58,+,63,20,3,,5.5,3470,0.55,7.11,-2.77,0.22,0.33,0.07,110,D14,,,0,,,,0,
Patchick 78,0,33,10,+,65,7,0,,1.5,1507,0.6,9.25,5.78,2.8,-1.68,0.45,10,D14,,,0,,,,0,
NGC 189,0,39,35,+,61,5,42,,5.0,752,0.42,7.0,-0.36,0.07,-3.02,0.01,80,D14,,,0,,,,0,
Stock 24,0,39,42,+,61,57,0,,5.0,2818,0.5,8.08,-0.61,0.22,0.52,0.09,124,D14,,,0,,,,0,
FSR 0505,0,40,4,+,61,35,52,IR,1.2,0,,,-2.03,0.43,-0.19,0.03,23,D14,,,0,,,,0,
FSR 0508,0,41,58,+,64,58,52,IR,2.5,5501,1.199,9.18,1.72,0.75,-0.47,0.75,8,K12,,,0,,,,0,
Dias 1,0,42,35,+,64,4,5,,4.6,1690,1.08,7.1,-2.55,0.01,-2.0,0.01,51,D14,,,0,,,,0,
NGC 225,0,43,39,+,61,46,30,,12.0,657,0.274,8.114,-1.23,0.36,-0.06,0.13,89,D14,-28.0,0.0,1,K07,,,0,
Czernik 2,0,43,42,+,60,9,0,,5.8,1775,0.74,8.0,-0.64,0.21,-1.01,0.09,136,D14,,,0,,,,0,4-2-m-*
King 16,0,43,45,+,64,11,8,,17.6,1920,0.89,7.0,-1.94,0.08,-1.21,0.0,494,D14,-58.2,1.9,1,D14,,,0,1-2-m-*
Berkeley 4,0,45,1,+,64,23,5,,6.2,2460,0.83,7.1,-3.21,0.09,-1.3,0.01,119,D14,,,0,,,,0,1-2-p-*
NGC 188,0,47,28,+,85,15,18,,17.0,1714,0.036,9.88,-0.21,0.22,0.17,0.18,472,G14,-42.35,0.05,472,G14,0.12,0.02,4,
Berkeley 61,0,48,30,+,67,12,0,,3.0,3798,0.69,8.25,-7.26,0.75,0.35,0.71,41,D14,,,0,,,,0,2-1-p-*
Dolidze 13,0,49,42,+,64,7,35,d,16.0,2400,0.35,8.962,-2.86,0.12,-0.71,0.04,329,D14,,,0,,,,0,-1-m-*
FSR 0516,0,50,46,+,65,58,6,IR,0.7,810,2.04,8.83,-1.8,0.58,-0.45,0.58,2,K12,,,0,,,,0,
King 2,0,51,0,+,58,11,0,,5.0,5750,0.31,9.78,-2.0,0.58,-2.6,0.01,48,D14,-144.25,5.92,7,WC09,-0.42,0.09,7,
FSR 0519,0,52,30,+,64,39,5,IR,1.4,1450,0.7,9.22,-5.38,1.04,-2.55,0.5,27,D14,,,0,,,,0,
IC 1590,0,52,49,+,56,37,42,,4.0,2940,0.32,6.54,-2.43,0.01,-1.9,0.01,77,D14,-25.16,3.6,3,D14,,,0,
FSR 0521,0,53,0,+,59,51,0,IR,6.3,2534,0.562,9.21,-3.2,0.2,-2.28,0.01,112,D14,,,0,,,,0,
ASCC 4,0,53,10,+,61,34,48,,48.0,750,0.3,8.34,-1.15,0.54,-0.63,0.54,4,K12,-9.24,9.3,4,K12,,,0,
Casado Alessi 1,0,53,27,+,49,34,0,,48.0,302,0.09,8.2,6.74,1.73,-7.79,1.73,28,AMD,6.0,1.8,1,K07,,,0,4-2-p-*
FSR 0522,0,53,50,+,65,47,36,IR,0.7,1506,0.874,9.075,-0.7,0.52,1.18,0.52,12,K12,,,0,,,,0,
ASCC 5,0,57,58,+,55,50,24,,15.6,1500,0.25,7.03,-0.2,0.22,-1.83,0.11,290,D14,-43.0,3.7,1,D14,,,0,
Majaess 19,0,58,29,+,56,29,53,IR,14.0,0,,,0.48,0.24,-2.29,0.15,254,D14,-54.0,7.4,1,D14,,,0,
Skiff J0058+68.4,0,58,29,+,68,28,8,,21.8,1600,0.85,9.1,-1.56,0.13,-4.81,0.04,504,D14,,,0,,,,0,
Majaess 20,0,58,37,+,65,40,23,IR,2.0,0,,,,,,,0,,,,0,,,,0,
Berkeley 62,1,1,0,+,63,57,0,v,10.0,2320,0.85,7.2,-2.07,0.12,-1.37,0.09,173,D14,,,0,,,,0,
Czernik 3,1,3,6,+,62,47,0,,2.4,1410,1.42,8.0,-1.55,0.68,0.36,0.68,4,K12,,,0,,,,0,3-2-p-*
NGC 358,1,5,11,+,62,1,18,,3.0,0,,,-4.56,0.68,2.72,0.53,28,D14,,,0,,,,0,
NGC 366,1,6,26,+,62,13,48,,3.5,1785,1.256,7.41,-5.34,0.63,4.1,0.74,56,D14,,,0,,,,0,
Pfleiderer 1,1,8,7,+,65,38,50,,5.0,7200,0.94,9.0,-2.48,0.04,3.83,0.25,18,D14,,,0,,,,0,4-2-m-*
NGC 381,1,8,19,+,61,35,0,,6.0,1148,0.4,8.505,-0.22,0.14,0.11,0.1,167,D14,-29.76,1.32,2,FM09,0.07,,0,
Stock 3,1,12,18,+,62,20,0,,5.0,1363,0.708,7.85,-0.94,0.64,1.82,0.38,61,D14,-6.0,10.0,1,D14,,,0,4-1-p-*
Platais 2,1,13,50,+,32,1,42,,336.0,190,0.05,8.313,13.85,0.34,-11.29,0.34,7,K12,4.45,0.95,14,D14,,,0,
NGC 433,1,15,11,+,60,7,36,,2.0,2323,0.86,7.5,-2.32,0.33,-1.6,0.33,6,K12,-36.91,0.18,1,MMU,,,0,
NGC 436,1,15,58,+,58,48,42,,5.0,2400,0.4,8.26,-0.38,0.22,-0.9,0.09,155,D14,-73.78,0.45,2,MMU,-0.55,0.33,0,
FSR 0534,1,17,26,+,61,18,0,IR,6.0,1800,0.6,8.7,-3.01,0.31,-0.11,0.08,71,D14,,,0,,,,0,
FSR 0537,1,18,50,+,60,21,1,IR,8.1,2075,0.666,9.0,-1.93,0.2,-1.37,0.06,236,D14,,,0,,,,0,
NGC 457,1,19,35,+,58,17,12,,20.0,2429,0.472,7.324,-2.08,0.02,-0.46,0.0,647,D14,-29.79,0.33,2,MMU,,,0,
FSR 0536,1,19,44,+,63,4,7,IR,7.2,3001,1.199,8.397,2.73,0.21,6.48,0.07,24,D14,,,0,,,,0,
FSR 0538,1,22,8,+,63,41,35,IR,0.8,2146,1.062,8.86,-0.95,0.47,2.77,0.47,3,K12,,,0,,,,0,
FSR 0542,1,25,53,+,62,59,43,IR,8.0,1934,0.833,8.35,-1.38,0.26,-0.08,0.24,93,D14,,,0,,0.07,0.06,1,
SAI 14,1,26,0,+,62,37,33,,4.0,6460,0.55,9.1,-1.18,0.7,-0.5,0.26,32,D14,,,0,,,,0,
NGC 559,1,29,32,+,63,18,14,,9.1,2430,0.82,8.35,-4.58,0.17,1.41,0.08,309,D14,-58.4,6.8,15,CC15,-0.25,0.14,15,
FSR 0547,1,29,52,+,60,42,59,IR,2.7,2800,0.3,8.9,0.85,0.53,-0.39,0.53,2,K12,,,0,,,,0,
NGC 581,1,33,23,+,60,39,0,,5.0,2194,0.382,7.336,-1.6,2.4,0.66,2.14,1,BDW,-44.2,0.12,2,MMU,,,0,
Czernik 4,1,35,36,+,61,28,35,,2.6,1630,1.06,8.0,0.13,0.88,-3.9,0.88,2,K12,-11.4,0.25,1,K14,,,0,4-2-p-*
Trumpler 1,1,35,42,+,61,17,0,,3.0,2469,0.68,7.3,-3.31,0.01,-1.02,0.01,87,D14,-65.0,30.0,1,K12,,,0,
NGC 609,1,36,23,+,64,32,18,,3.0,3981,0.35,9.232,0.82,0.4,0.1,0.52,70,D14,,,0,,,,0,
FSR 0546,1,37,12,+,65,51,29,IR,3.9,2501,1.099,9.0,2.32,0.3,0.36,0.3,13,K12,,,0,,,,0,
FSR 0549,1,39,39,+,65,55,11,IR,1.2,6001,0.45,9.3,-3.17,0.18,0.23,0.62,15,D14,,,0,,,,0,
FSR 0551,1,39,46,+,64,53,41,IR,1.2,3500,1.499,6.68,1.79,1.24,-1.34,0.02,17,D14,,,0,,,,0,
FSR 0553,1,41,2,+,64,30,48,IR,3.4,7500,0.999,8.6,-1.5,0.25,0.34,0.33,55,D14,,,0,,,,0,
NGC 637,1,43,4,+,64,2,24,,3.0,2500,0.64,7.0,-1.28,0.13,0.38,0.14,77,D14,-45.58,1.36,2,D14,,,0,
NGC 657,1,43,21,+,55,50,11,,6.0,1372,0.34,9.2,1.14,0.46,-3.95,0.29,59,D14,,,0,,,,0,
NGC 654,1,44,0,+,61,53,6,,5.0,2410,0.82,7.0,-1.34,0.51,-0.72,0.64,3,BDW,-34.2,0.18,1,MMU,,,0,
NGC 659,1,44,24,+,60,40,24,,5.0,1938,0.652,7.548,-2.67,1.96,1.07,1.96,1,BDW,,,0,,,,0,
Majaess 26,1,45,40,+,64,16,8,IR,4.0,0,,,1.19,0.43,-0.14,0.25,54,D14,,,0,,,,0,
Collinder 463,1,45,45,+,71,48,36,,57.0,702,0.259,8.373,-0.91,0.26,-0.9,0.26,40,TYC,-7.2,0.28,1,K14,,,0,
NGC 663,1,46,9,+,61,14,6,v,14.0,2420,0.8,7.4,-1.49,0.85,-2.3,0.89,3,BDW,-33.09,0.34,1,MMU,,,0,
ASCC 6,1,47,13,+,57,43,48,,36.0,1200,0.3,8.17,-0.52,0.39,-0.68,0.39,17,K12,-20.0,7.4,2,D14,,,0,
Berkeley 5,1,47,48,+,62,56,0,,2.0,6200,1.3,8.9,0.11,0.58,-2.78,0.58,5,K12,,,0,,,,0,4-1-p-*
S1,1,50,51,+,61,5,28,,4.6,2200,0.77,7.4,-3.15,0.22,-0.79,0.23,85,D14,,,0,,,,0,
Berkeley 6,1,51,11,+,61,3,40,,8.4,2520,0.9,7.5,-2.89,0.13,0.24,0.11,169,D14,,,0,,,,0,2-2-p-*
IC 166,1,52,30,+,61,50,0,,7.0,4800,0.8,9.0,-1.26,0.11,-0.04,0.1,249,D14,-36.7,4.04,4,K12,-0.178,0.2,4,
Stock 4,1,52,48,+,57,4,0,d,12.0,1200,0.1,8.7,0.55,0.17,-2.23,0.13,293,D14,,,0,,,,0,4-1-p-*
ESO 245 09,1,53,43,-,45,57,12,p,14.0,1380,0.312,9.055,8.45,1.6,0.57,1.52,27,D14,,,0,,,,0,4-2-p-*
Berkeley 7,1,54,12,+,62,22,0,,4.0,2570,0.8,6.6,-2.76,0.12,0.97,0.14,66,D14,,,0,,,,0,
Czernik 5,1,55,43,+,61,21,21,,1.8,2750,1.2,8.45,-2.35,0.58,0.06,0.03,26,D14,,,0,,,,0,3-1-p-*
NGC 752,1,57,41,+,37,47,6,,75.0,457,0.034,9.16,7.5,0.32,-11.5,0.32,50,TYC,5.54,0.14,54,M09,0.01,0.04,18,
NGC 744,1,58,33,+,55,28,24,,5.0,1207,0.384,8.248,-1.34,1.51,1.15,1.56,1,BDW,,,0,,,,0,
NGC 743,1,58,37,+,60,9,18,,8.0,1618,0.95,8.7,-1.04,0.08,-2.16,0.11,132,D14,-6.5,4.5,2,K12,,,0,4-1-p-*
ASCC 7,1,58,55,+,58,58,12,,30.0,2000,0.5,7.36,0.24,0.07,-0.98,0.05,1296,D14,-49.0,10.0,1,D14,,,0,
Berkeley 8,2,1,6,+,75,29,0,,5.0,3150,0.75,9.5,0.99,0.5,-3.08,0.51,36,D14,,,0,,,,0,2-2-m-*
Czernik 6,2,2,0,+,62,50,0,,8.0,2700,0.26,7.0,-1.15,0.27,0.15,0.1,158,D14,-22.0,10.0,1,D14,,,0,2-2-p-*
Czernik 7,2,3,1,+,62,14,48,,10.0,3300,0.7,8.34,-1.22,0.18,0.21,0.18,160,D14,,,0,,,,0,4-2-p-*
Stock 5,2,4,30,+,64,26,0,d,24.0,1100,0.4,7.73,-0.13,0.1,-1.53,0.06,741,D14,-19.85,2.06,2,D14,,,0,4-2-p-*
SAI 16,2,5,30,+,62,15,54,,5.0,7700,0.7,9.15,-1.87,0.17,-0.91,0.28,64,D14,,,0,,,,0,
Riddle 4,2,7,23,+,60,15,25,,4.4,2800,1.1,7.6,9.08,0.3,-6.01,0.1,29,D14,,,0,,,,0,
Stock 2,2,14,43,+,59,29,6,,60.0,303,0.38,8.23,17.29,0.31,-13.1,0.31,54,TYC,-41.14,3.7,2,D14,-0.14,0.2,2,
NGC 869,2,19,0,+,57,7,42,v,18.0,2079,0.575,7.069,-0.92,0.37,-1.66,0.34,4,BDW,-42.84,2.11,9,D14,-0.3,,0,
Basel 10,2,19,28,+,58,18,0,,2.0,1944,0.774,7.608,1.47,0.12,0.35,0.29,13,LOK,-32.1,0.77,1,K14,,,0,
Berkeley 63,2,19,36,+,63,43,0,,16.0,5700,0.96,7.48,-0.06,0.17,2.83,0.12,325,D14,,,0,,,,0,3-1-p-*
FSR 0578,2,20,10,+,61,6,31,IR,1.4,2668,1.457,8.985,2.22,0.6,-2.11,0.6,2,K12,,,0,,,,0,
SAI 17,2,20,48,+,59,11,6,,2.0,3800,0.98,8.9,0.03,0.49,-0.32,0.49,4,K12,,,0,,,,0,
ASCC 8,2,20,49,+,59,36,36,,36.0,2200,0.55,6.76,0.56,0.04,-0.43,0.02,1411,D14,-17.4,0.49,3,D14,,,0,
Berkeley 64,2,21,6,+,65,54,0,,2.0,3981,1.05,9.0,-2.2,0.42,2.38,0.42,4,K12,,,0,,-0.61,,0,
NGC 884,2,22,23,+,57,7,33,v,18.2,2940,0.56,7.1,-2.29,0.03,-0.63,0.02,777,D14,-42.64,0.27,5,MMU,-0.3,,0,
Stock 6,2,23,42,+,63,52,0,d,14.0,1700,0.4,8.48,0.57,0.16,3.05,0.22,308,D14,,,0,,,,0,3-2-p-*
FSR 0584,2,27,11,+,61,37,40,IR,2.0,2009,1.041,9.1,1.19,0.69,0.55,0.69,2,K12,,,0,,,,0,
FSR 0591,2,27,44,+,58,45,32,IR,4.0,2200,1.249,8.95,0.57,0.01,0.35,0.14,52,D14,,,0,,,,0,
Majaess 29,2,28,7,+,72,37,35,IR,11.0,0,,,-0.97,0.59,2.94,0.41,59,D14,,,0,,,,0,
Tombaugh 4,2,28,54,+,61,47,0,,7.0,3850,1.25,8.7,2.05,0.31,-5.23,0.28,101,D14,,,0,,,,0,2-1-m-n
Teutsch 55,2,29,0,+,62,5,39,,8.0,6020,0.82,6.7,-1.25,0.11,0.47,0.31,84,D14,,,0,,,,0,
Markarian 6,2,29,40,+,60,42,24,,6.0,698,0.606,7.214,-3.33,0.85,0.24,0.84,2,BDW,-7.18,5.23,3,D14,,,0,
FSR 0596,2,29,52,+,58,6,37,IR,3.7,1417,0.521,9.15,-1.49,0.31,2.97,0.31,6,K12,,,0,,,,0,
NGC 956,2,32,15,+,44,38,48,d,9.0,2613,0.354,9.1,-0.86,0.24,-0.14,0.5,64,D14,,,0,,,,0,-2-m-*
IC 1805,2,32,42,+,61,27,0,,20.0,2344,0.87,6.48,-2.1,1.35,-1.57,1.35,15,BDW,-45.0,10.7,6,DL03,,,0,
Czernik 8,2,33,0,+,58,44,0,,2.0,1409,0.803,7.904,4.92,0.46,0.7,0.62,10,LOK,,,0,,,,0,
NGC 957,2,33,21,+,57,33,36,,10.0,2200,0.71,7.0,-1.33,0.05,-0.14,0.01,175,D14,-34.34,1.2,2,FM09,,,0,
Czernik 9,2,33,32,+,59,53,12,,3.2,1660,1.05,8.8,-1.4,0.02,0.28,0.02,36,D14,,,0,,,,0,3-2-p-*
Czernik 10,2,33,54,+,60,10,0,d,2.2,1575,1.71,8.3,-4.33,0.42,-2.86,0.42,11,K12,,,0,,,,0,4-1-p-*
SAI 21,2,34,45,+,62,34,22,,3.0,1860,0.58,8.5,-2.95,0.65,-1.76,0.22,24,D14,,,0,,,,0,
King 4,2,35,42,+,59,0,0,,5.0,3172,0.863,7.605,0.52,0.3,2.44,0.16,67,D14,,,0,,,,0,
Czernik 11,2,36,35,+,59,38,0,,3.0,1210,1.0,8.54,-0.08,0.42,-0.53,0.58,36,D14,,,0,,,,0,4-2-p-n
Trumpler 2,2,36,53,+,55,54,54,,17.0,725,0.4,7.95,0.11,0.08,-3.49,0.12,346,D14,2.4,0.7,0,RGDZ,,,0,
FSR 0611,2,37,38,+,56,24,54,IR,5.5,1000,0.5,8.75,-0.91,0.35,-2.28,0.21,59,D14,,,0,,,,0,
Berkeley 65,2,39,0,+,60,25,0,,5.0,2274,1.121,6.995,-1.47,0.02,-2.65,0.36,44,D14,,,0,,,,0,
Czernik 12,2,39,12,+,54,55,0,,6.0,2000,0.26,9.1,-0.75,0.2,-1.66,0.11,73,D14,,,0,,,,0,3-2-p-*
NGC 1039,2,42,5,+,42,45,42,,35.0,499,0.07,8.249,-0.28,0.15,-6.91,0.15,106,K12,-16.8,3.8,1,D14,0.07,0.03,4,
FSR 0614,2,42,34,+,56,44,0,IR,2.8,2434,0.833,8.8,0.19,0.43,-2.81,0.43,10,K12,,,0,,,,0,
NGC 1027,2,42,43,+,61,38,1,,6.2,1030,0.41,8.4,-2.46,0.13,0.95,0.14,94,D14,15.63,0.2,1,MMU,,,0,
Majaess 30,2,44,36,+,60,59,42,IR,2.0,0,,,,,,,0,,,,0,,,,0,
Czernik 13,2,44,42,+,62,21,0,,4.0,3961,0.755,6.854,-1.05,0.7,-2.21,0.35,61,D14,,,0,,,,0,
ASCC 9,2,46,55,+,57,43,48,,20.4,2900,0.9,6.79,-0.93,0.09,-0.33,0.14,394,D14,-40.73,2.04,2,D14,,,0,
Teutsch 162,2,47,40,+,61,58,30,,9.0,2050,0.51,7.0,-0.65,0.16,-1.98,0.17,141,D14,,,0,,,,0,
IC 1848,2,51,12,+,60,26,0,,18.0,2200,0.66,6.7,-5.15,1.32,0.35,1.38,3,BDW,-33.76,5.08,4,D14,,,0,
Collinder 34,2,59,23,+,60,34,0,d,25.0,0,,,0.4,0.07,0.44,0.04,765,D14,-40.0,6.7,1,D14,,,0,1-3-p-n
SAI 24,2,59,25,+,60,33,58,,6.0,1000,0.5,7.2,-0.99,0.07,1.17,0.01,86,D14,-40.0,6.7,1,D14,,,0,
SAI 25,3,0,27,+,57,16,2,,7.0,2290,0.84,9.15,-2.19,0.31,2.82,0.52,45,D14,,,0,,,,0,
Berkeley 66,3,4,18,+,58,46,0,,4.0,5000,1.28,9.6,-0.63,0.68,2.6,0.98,37,D14,-50.6,0.2,2,VGB,-0.48,0.24,2,
NGC 1193,3,5,56,+,44,23,0,,3.0,4571,0.19,9.7,1.05,0.62,-4.96,0.97,26,D14,-82.0,10.39,4,K12,-0.293,0.17,4,
NGC 1252,3,10,49,-,57,46,0,cr,8.0,790,0.0,9.45,7.68,1.99,3.61,2.6,19,D14,,,0,,,,0,
NGC 1220,3,11,40,+,53,20,42,,4.0,1800,0.7,7.778,-0.13,0.91,-0.5,0.21,30,D14,,,0,,,,0,1-1-p-*
Trumpler 3,3,11,48,+,63,15,0,,12.0,460,0.19,8.3,-2.88,0.16,-0.7,0.02,98,D14,-8.58,1.12,2,MMU,,,0,3-2-m-*
NGC 1245,3,14,42,+,47,14,12,,32.0,2818,0.24,9.03,1.83,0.06,-1.92,0.05,1684,D14,-29.7,1.12,16,JPF,-0.04,0.05,13,
King 5,3,14,45,+,52,41,12,,14.2,1740,0.7,9.1,-0.17,0.16,-3.31,0.07,237,D14,-52.0,12.0,19,FJ02,-0.3,0.17,19,
Stock 23,3,16,11,+,60,6,56,,29.0,380,0.26,7.51,0.41,0.16,-1.33,0.1,396,D14,-8.53,5.15,4,D14,,,0,2-3-p-n
Czernik 14,3,16,54,+,58,36,0,,2.0,2175,1.71,8.4,0.33,0.42,-2.46,0.42,3,K12,,,0,,,,0,3-1-p-*
Alessi 13,3,21,42,-,36,18,0,,200.0,100,,,36.39,1.73,-4.74,1.73,12,ALE,19.53,3.0,3,K07,0.17,,0,
Czernik 15,3,23,12,+,52,15,0,,2.4,1155,1.0,7.3,1.42,0.7,-0.01,0.7,3,K12,,,0,,,,0,4-2-p-*
FSR 0628,3,23,12,+,60,33,46,IR,5.4,5001,1.049,9.25,-1.55,0.34,-1.34,0.46,33,D14,,,0,,,,0,
Melotte 20,3,24,19,+,49,51,42,,300.0,185,0.09,7.854,22.41,0.21,-25.87,0.25,60,LOK,-1.39,0.17,23,M09,0.04,0.02,19,
Alessi Teutsch 9,3,27,27,+,34,57,12,,57.6,700,0.1,8.65,-3.08,0.37,-1.01,0.37,13,K05,,,0,,,,0,
King 6,3,27,50,+,56,23,59,,3.5,871,0.5,8.4,2.29,0.02,-1.8,0.06,28,D14,,,0,,0.46,,0,2-2-m-*
Czernik 16,3,30,48,+,52,39,0,,5.0,2580,1.29,8.3,0.29,0.45,-3.4,0.62,33,D14,,,0,,,,0,4-2-p-*
NGC 1342,3,31,38,+,37,22,36,,15.0,665,0.319,8.655,-2.99,0.2,-1.82,0.15,146,D14,-10.67,0.11,3,MMU,-0.16,0.11,0,
ASCC 11,3,32,17,+,44,50,24,,42.0,650,0.15,8.61,1.26,0.17,-4.75,0.17,12,K12,-3.24,3.33,3,D14,,,0,
Berkeley 9,3,32,39,+,52,39,14,,6.3,1480,0.79,9.3,1.07,0.01,-0.57,0.21,64,D14,,,0,,,,0,2-1-p-*
NGC 1348,3,34,6,+,51,24,30,,6.0,1820,1.02,8.11,0.59,0.01,-0.45,0.01,45,D14,,,0,,0.07,,0,3-2-m-*
Berkeley 10,3,39,32,+,66,29,9,,10.0,1700,0.75,9.06,-2.11,0.01,-0.5,0.19,108,D14,,,0,,-0.49,,0,2-2-m-*
SAI 30,3,40,22,+,82,14,0,,3.0,3100,1.25,8.0,2.2,1.53,0.97,1.2,16,D14,,,0,,,,0,
