recno	P	Cluster	RAJ2000	DEJ2000	Class	Diam	Dist	E(B-V)	Age	r_pmRA	pmRA	pmDE	Nc	K14	RV	o_RV	r_RV	[Fe/H]	o_[Fe/H]	TrType	WEBDA	Lynga
781		AH03 J0748 26.9	07 48 40	-26 56 48		4.0	4440	0.39	7.8	D14	-1.03	3.64	78	K14				-0.1			WEBDA	Lynga
782		FSR 1315	07 48 42	-26 59 05	IR	2.5	2255	0.729	8.7	K14	-0.55	2.05	45	K14							WEBDA	Lynga
783		NGC 2455	07 49 01	-21 18 06		8.0	2650	0.54	8.26	D14	-5.31	-0.41	207	K14						3-2-p-*	WEBDA	Lynga
784		FSR 1308	07 49 23	-25 34 07	IR	1.8								K14							WEBDA	Lynga
785		ESO 311 14	07 49 24	-42 42 18		6.0	1613	0.1	9.0	D14	-5.86	3.15	88	K14							WEBDA	Lynga
786		Ruprecht 37	07 49 48	-17 14 47		2.8	5250	0.0	9.48	K14	-0.6	4.05	23	K14						3-2-p-*	WEBDA	Lynga
787	P	Haffner 16	07 50 20	-25 28 00		5.0	3165	0.175	7.078	D14	-3.4	2.03	121	K14	65.8	1	K07	-0.111	1		WEBDA	Lynga
788		Ruprecht 38	07 50 30	-20 11 00	d	2.0	2928	0.521	8.73	K14	-6.41	3.96	64	K14						3-2-p-*	WEBDA	Lynga
789		Czernik 32	07 50 30	-29 50 45		3.0	4100	0.85	9.0	D14	-2.18	2.64	39	K14				-0.38		2-1-m-*	WEBDA	Lynga
790		FSR 1294	07 51 07	-22 07 50	IR	0.7	2121	0.208	9.215	K14	-4.24	0.76	38	K14							WEBDA	Lynga
791	P	Haffner 17	07 51 37	-31 49 00		2.0	2880	1.26	7.7	K14	3.61	-1.92	96	K14							WEBDA	Lynga
792		SAI 81	07 52 07	-28 07 21		7.0	2770	0.4	9.2	D14	-2.81	1.47	182	K14							WEBDA	Lynga
793	P	NGC 2477	07 52 10	-38 31 48		15.0	1341	0.31	8.85	D14	-0.58	1.81	829	K14	7.26	64	MMU	0.07	6		WEBDA	Lynga
794		SAI 82	07 52 14	-33 02 27		3.0	1150	0.39	8.65	D14	0.42	3.74	20	K14							WEBDA	Lynga
795		Ruprecht 39	07 52 19	-22 27 00	nf	2.0	4591	0.458	9.005	K14	-1.03	1.21	31	K14						3-2-p-*	WEBDA	Lynga
