ID,NameLit,SourceCat,TypeSourceCat,Sep,SepTidal,SepTidalLit,SepTidalData,pmRASep,pmRASigma,pmDESep,pmDESigma,PlxSep,PlxSigma,maxSigma,meanSigma,Name,AllNames,Type,CST,N,CSTt,Nt,RAdeg,DEdeg,GLON,GLAT,r50,rc,rt,rtot,r50pc,rcpc,rtpc,rtotpc,pmRA,s_pmRA,e_pmRA,pmDE,s_pmDE,e_pmDE,Plx,s_Plx,e_Plx,dist16,dist50,dist84,Ndist,globalPlx,X,Y,Z,RV,s_RV,e_RV,n_RV,CMDCl2.5,CMDCl16,CMDCl50,CMDCl84,CMDCl97.5,CMDClHuman,logAge16,logAge50,logAge84,AV16,AV50,AV84,diffAV16,diffAV50,diffAV84,MOD16,MOD50,MOD84,minClSize,isMerged,isGMMMemb,NXmatches,XmatchType
167.0,BH_211,Cantat-Gaudin+20,gaia_dr2,0.005976,0.01875922,0.03643847,0.01875922,0.03939,0.0,0.01972,0.0,0.04895,0.0,0.0,0.0,BH_211,"BH_211,ESO_332-16,MWSC_2518,vdBergh-Hagen_211",o,19.24082595,154.0,19.24082595,154.0,255.52714971,-41.1121459,344.94746911,0.4614,0.087921,0.08916568,0.31855856,0.31855856,2.54923037,2.58531909,9.23655158,9.23655158,-0.7103881,0.1153172,0.00929252,-1.92328307,0.12375557,0.00997251,0.57222812,0.05093444,0.00410441,1653.27589466,1661.26429799,1669.33027389,153.0,0.0,-6517.73359585,-431.42539044,30.07144699,-53.1273183,7.53695958,2.17573282,12.0,0.2564,0.6545,0.7861526,0.95570529,0.98435396,,8.05541229,8.23403883,8.42894268,2.446,2.63412035,2.82416153,1.713,2.04050255,2.36922193,10.95303822,11.08477354,11.21586323,10.0,0.0,0.0,1.0,1:1
168.0,BH_217,Cantat-Gaudin+20,gaia_dr2,0.003084,0.01679461,0.03953573,0.01679461,0.05061,0.00450793,0.02185,0.0,0.03014,0.0,0.00451,0.001503,BH_217,"BH_217,ESO_333-2,MWSC_2553,vdBergh-Hagen_217",o,17.56113603,146.0,17.69040258,144.0,259.07312716,-40.81763023,346.78012633,-1.513,0.04069845,0.03148217,0.18361764,0.20950144,1.92426422,1.48850889,8.68165706,9.90548356,-0.7116104,0.12563017,0.01046918,-1.84784863,0.10821185,0.00901765,0.32603831,0.06177364,0.0051478,2679.6396002,2709.0022313,2739.01548429,144.0,0.0,-5485.87206092,-619.30423141,-57.46408408,48.03302857,79.81411665,30.16690054,7.0,0.1643,0.4909,0.62317145,0.92524362,0.91656959,,7.36993122,7.56939626,7.78242397,4.101,4.28242803,4.48682117,2.124,2.42463136,2.8059833,12.03903675,12.20048714,12.31435108,80.0,0.0,0.0,1.0,1:1
169.0,BH_221,Cantat-Gaudin+20,gaia_dr2,0.06851,0.16842049,0.22535632,0.16842049,0.02991,0.0,0.003998,0.0,0.02207,0.0,0.0,0.0,BH_221,"BH_221,ESO_454-6,MWSC_2563,OC_0691,vdBergh-Hagen_221",o,22.95717464,243.0,23.2673829,238.0,259.59353676,-32.38955234,353.90346548,3.015,0.140406,0.20835729,0.40676951,0.55454175,2.62071184,3.88904834,7.59256328,10.35095797,1.9700947,0.20908522,0.01355298,-1.5719981,0.18716505,0.01213211,0.89440163,0.09337781,0.00605278,1066.51229803,1069.43739339,1072.37857804,219.0,0.0,-7059.91576112,-113.42232103,74.32904944,0.26649691,55.50095659,11.8328437,22.0,0.4073,0.6998,0.79544258,0.95500946,0.96942651,,6.5211463,6.67579603,6.77180815,0.8951,1.11348498,1.28739202,1.792,2.2214793,2.60276604,9.94355583,10.13021135,10.24853611,20.0,0.0,0.0,2.0,1:m
132.0,BH_23,Cantat-Gaudin+20,gaia_dr2,0.02724,0.00590185,0.03661451,0.00590185,0.08201,0.12387857,0.03317,0.0,0.05344,0.03335,0.124,0.05241,BH_23,"BH_23,Theia_80",o,27.44590458,300.0,27.44590458,300.0,123.44775389,-36.3562227,253.99067743,-1.047,1.1414861,1.0034487,4.61570108,4.61570108,8.51714382,7.48695929,34.50996218,34.50996218,-7.18300529,0.2362065,0.01363739,7.31683038,0.26967491,0.01556969,2.29564436,0.07300463,0.00421492,427.13300386,427.45315126,427.77377893,237.0,0.0,-8239.86259313,-410.80650967,13.29411638,21.61047085,10.212897,1.47410471,48.0,0.9904,0.9975,0.99867368,0.99998021,0.9999941,,6.73081446,6.9735961,7.15357161,0.001211,0.11152406,0.16984326,0.01794,0.51698512,0.75747329,7.94960737,8.1281004,8.28203487,20.0,0.0,0.0,2.0,m:m
173.0,BH_245,Cantat-Gaudin+20,gaia_dr2,0.006757,0.04854906,0.21117087,0.04854906,0.04366,0.0,0.06592,0.07986,0.006411,0.0,0.0799,0.02662,BH_245,"BH_245,ESO_455-35,MWSC_2687,vdBergh-Hagen_245",o,11.93250241,78.0,12.05575161,74.0,266.56445156,-29.706056,359.41495103,-0.5194,0.03190992,0.02564304,0.13918844,0.2716446,1.49950486,1.20501288,6.54072909,12.76516645,-0.45333672,0.09744638,0.01132791,-2.25991654,0.09403577,0.01093144,0.32230321,0.03484392,0.00405052,2652.90303322,2692.43221074,2733.1572033,75.0,0.0,-5429.86345228,-27.49336955,-10.49753777,117.59389219,97.14247855,48.57123928,4.0,0.02291,0.05182,0.20104966,0.27285182,0.52380109,,6.42223549,6.83915734,7.01884174,6.035,6.22176909,6.55694532,1.992,2.41813612,2.90940571,12.00986958,12.22562075,12.40596104,40.0,0.0,0.0,1.0,1:1
133.0,BH_37,Cantat-Gaudin+20,gaia_dr2,0.006168,0.03838186,0.09070098,0.03838186,0.02127,0.0,0.03335,0.0,0.006782,0.0,0.0,0.0,BH_37,"BH_37,ESO_259-13,FSR_1410,MWSC_1509,OC_0475,vdBergh-Hagen_37",o,18.7000607,146.0,18.7000607,146.0,128.94934769,-43.60432864,262.34131652,-1.78,0.03966514,0.0348163,0.16069224,0.16069224,2.48325356,2.17968942,10.0602324,10.0602324,-3.50526634,0.07759529,0.00642183,3.98634855,0.09325694,0.007718,0.24887994,0.0445623,0.003688,3546.05469023,3587.02656263,3628.95629789,142.0,0.0,-8600.07819913,-3553.31284155,-89.3960968,66.08973917,19.91367413,9.95683706,4.0,0.8991,0.9683,0.98089108,0.99901605,0.99961674,,7.81108856,7.97583079,8.18054485,3.534,3.73191094,3.94204617,1.786,2.12089133,2.48482513,12.63691711,12.76299572,12.91402531,80.0,0.0,0.0,2.0,1:m
134.0,BH_54,Cantat-Gaudin+20,gaia_dr2,0.0009331,0.00322218,0.00971967,0.00322218,0.0505,0.00636343,0.07848,0.2883,0.02014,0.0,0.288,0.09822,BH_54,"BH_54,vdBergh-Hagen_54",o,12.81529304,74.0,12.81529304,74.0,132.41172498,-44.35319866,264.46749308,-0.2805,0.07449549,0.06882249,0.28958331,0.28958331,2.7714662,2.56041245,10.77349383,10.77349383,-4.80949711,0.11336624,0.01317856,5.32248076,0.10735789,0.0124801,0.43458542,0.02451084,0.00284933,2120.35885178,2131.58165962,2142.92390159,69.0,0.0,-8327.5057261,-2121.62639988,10.88839382,35.00795171,60.38189844,34.86150532,3.0,0.2103,0.4355,0.58927217,0.8332727,0.91923594,,6.42764378,6.553936,6.6287775,2.916,3.11015677,3.33062506,2.158,2.52476788,2.84315634,11.51913643,11.673388,11.83387375,40.0,0.0,0.0,1.0,1:1
135.0,BH_55,Cantat-Gaudin+20,gaia_dr2,0.004542,0.01790996,0.04730879,0.01790996,0.04064,0.0,0.007806,0.0,0.03276,0.0,0.0,0.0,BH_55,"BH_55,ESO_314-1,FSR_1404,MWSC_1600,vdBergh-Hagen_55",o,19.0819316,177.0,19.82987151,173.0,134.04050267,-39.52239231,261.52904943,3.742,0.06682145,0.06364525,0.25358195,0.53498803,4.72621792,4.50156847,17.93572126,37.84028136,-3.93036366,0.12665801,0.00962963,3.12580595,0.09610348,0.00730661,0.22254601,0.0531511,0.004041,4000.165653,4052.47459383,4106.16971734,177.0,0.0,-8716.98743216,-3999.7201916,286.78305165,38.76121684,14.11190588,3.91393848,13.0,0.03822,0.1,0.31362525,0.47957474,0.71247572,,8.54847622,8.76876497,8.93707848,1.804,2.02242148,2.25632882,1.893,2.24295592,2.55765891,12.87247658,13.02958918,13.1730957,80.0,0.0,0.0,1.0,1:1
136.0,BH_56,Cantat-Gaudin+20,gaia_dr2,0.04082,0.05067367,0.09491937,0.05067367,0.05325,0.01732911,0.04875,0.0,0.02943,0.0,0.0173,0.005776,BH_56,"BH_56,ESO_260-12,MWSC_1605,Magakian_425,vdBergh-Hagen_56",o,24.02046843,302.0,24.02046843,302.0,134.3693655,-43.22044909,264.50649957,1.53,0.23788505,0.26643665,0.8054544,0.8054544,3.65345299,4.09195625,12.37096133,12.37096133,-5.51675305,0.20439405,0.01176156,5.39024588,0.20904611,0.01202925,1.10348162,0.10039249,0.00577694,878.58355938,879.94699454,881.31466799,210.0,0.0,-8206.12354412,-875.59305113,44.51222386,13.22630087,14.43954145,2.28309197,40.0,0.783,0.947,0.96876511,0.99822366,0.99840856,,6.6733222,6.87880206,7.02234077,0.442,0.66675341,0.85383588,1.288,1.75215667,2.19366837,9.53049469,9.68738222,9.85958099,80.0,0.0,0.0,1.0,m:1
137.0,BH_66,Cantat-Gaudin+20,gaia_dr2,0.001606,0.0099888,0.03490531,0.0099888,0.02064,0.0,0.01096,0.0,0.03217,0.0,0.0,0.0,BH_66,"BH_66,ESO_166-11,MWSC_1667,UKS_2,vdBergh-Hagen_66",o,15.13425545,407.0,17.45169239,309.0,141.31666874,-54.71944957,276.0011742,-3.012,0.05668016,0.0882645,0.16074447,0.47271108,6.25444172,9.73965837,17.73758551,52.16304842,-4.13635863,0.13170189,0.00749226,3.60996135,0.15434169,0.00878019,0.12271351,0.04699549,0.00267348,6233.86338558,6322.37081364,6413.42766759,407.0,0.0,-7462.74791117,-6279.03886572,-313.06438474,58.90031048,19.3652605,5.59026918,12.0,0.04583,0.07118,0.26805764,0.38045883,0.6530261,,8.21319389,8.43686533,8.66498566,1.666,1.97237867,2.1764338,2.097,2.49395311,2.77050591,14.00406361,14.17426729,14.3091116,80.0,0.0,0.0,2.0,1:m
