map,cmd,stars,MWSC,Name,Type,RAJ2000,DEJ2000,r0,r1,r2,pmRA,pmDE,RV,d,E(B-V),logt,rc,rt,k,SType,[Fe/H],Simbad
map,cmd,stars,2126,Collinder_271,,202.53,-64.2,0.015,0.07,0.11,-7.73,-12.8,,2588.0,1.353,7.2,0.77,11.37,4.89,,,Simbad
map,cmd,stars,2127,FSR_1657,,202.507,-58.73,0.016,0.07,0.115,-10.04,3.48,,5409.0,0.729,9.0,2.36,22.16,0.2,irc,,Simbad
map,cmd,stars,2128,Collinder_272,,202.582,-61.335,0.03,0.115,0.205,-4.5,-2.0,-32.2,2095.0,0.604,7.02,1.1,10.23,8.75,,,Simbad
map,cmd,stars,2129,NGC_5168,,202.77,-60.94,0.02,0.07,0.12,-3.7,-0.86,,1727.0,0.354,8.25,0.91,5.43,18.03,,,Simbad
map,cmd,stars,2131,Trumpler_21,,203.055,-62.8,0.025,0.085,0.16,-10.4,-4.5,-32.9,1270.0,0.25,7.85,0.81,5.9,21.2,,,Simbad
map,cmd,stars,2132,Ruprecht_108,r,203.055,-58.465,0.02,0.1,0.17,-10.72,-1.46,,935.0,0.139,8.675,0.66,5.56,6.2,,,Simbad
map,cmd,stars,2133,DBSB_87,,203.212,-60.455,0.015,0.05,0.075,-6.63,1.7,,1791.0,0.729,8.0,0.66,3.03,4.36,irc,,Simbad
map,cmd,stars,2134,FSR_1653,,203.46,-63.04,0.02,0.075,0.12,-9.78,-0.96,,3258.0,1.041,8.85,2.63,15.87,0.8,,,Simbad
map,cmd,stars,2135,Loden_915,,203.572,-59.295,0.03,0.165,0.28,-10.31,0.7,-21.6,709.0,0.15,8.445,1.77,5.15,5.24,,,Simbad
map,cmd,stars,2136,Loden_848,,203.595,-64.55,0.025,0.11,0.225,-7.4,1.95,,1797.0,0.396,8.75,2.6,11.83,1.85,,,Simbad
map,cmd,stars,2137,C1331-622,,203.655,-62.417,0.018,0.075,0.12,-7.61,0.93,,1078.0,0.271,9.25,0.78,4.49,30.94,var,,Simbad
map,cmd,stars,2138,Collinder_275,,203.632,-60.213,0.012,0.075,0.125,-9.36,2.58,,1952.0,0.458,8.6,2.78,7.39,16.68,,,Simbad
map,cmd,stars,2139,FSR_1650,,203.913,-68.113,0.012,0.09,0.155,-13.8,1.69,,4103.0,0.729,9.0,2.87,19.44,0.92,,,Simbad
map,cmd,stars,2140,ASCC_74,,203.955,-58.81,0.015,0.1,0.18,-10.85,0.5,,550.0,0.05,8.63,1.47,2.92,63.44,,,Simbad
map,cmd,stars,2141,ESO_132-14,r,204.135,-62.19,0.018,0.05,0.1,-10.6,-0.8,,1093.0,0.333,9.15,0.78,3.37,7.53,rem,,Simbad
map,cmd,stars,2142,Pismis_18,,204.232,-62.065,0.012,0.085,0.15,-8.25,-1.7,,2309.0,0.521,8.975,1.4,11.33,15.18,,,Simbad
map,cmd,stars,2143,vdBergh-Hagen_150,,204.472,-63.32,0.02,0.06,0.1,-11.9,-3.59,,1537.0,0.208,7.5,1.04,5.5,3.25,dub,,Simbad
map,cmd,stars,2144,FSR_1659,,204.504,-62.485,0.02,0.09,0.16,-11.91,-0.18,,1764.0,0.833,8.315,1.57,10.14,1.12,,,Simbad
map,cmd,stars,2145,FSR_1672,r,204.502,-43.18,0.02,0.085,0.155,-9.79,0.42,,3020.0,0.0,9.6,2.72,15.15,0.21,,,Simbad
map,cmd,stars,2146,Loden_894,r,204.921,-64.32,0.015,0.07,0.12,-7.0,2.18,,1423.0,0.729,9.04,1.22,6.45,1.4,,,Simbad
map,cmd,stars,2147,vdBergh-Hagen_151,n,205.065,-61.73,0.014,0.045,0.065,-4.61,6.44,,3572.0,1.353,6.6,1.57,4.87,6.78,,,Simbad
map,cmd,stars,2148,FSR_1663,,205.27,-60.197,0.01,0.045,0.095,-6.24,-0.08,,1513.0,0.625,8.15,0.56,5.33,42.13,,,Simbad
map,cmd,stars,2149,FSR_1656,r,205.335,-66.637,0.018,0.06,0.105,-8.41,-1.63,,5087.0,0.521,9.25,1.35,17.69,0.77,,,Simbad
map,cmd,stars,2150,Platais_10,,205.29,-59.225,0.05,0.525,1.0,-29.9,-10.7,-8.0,246.0,0.079,8.34,1.14,4.44,7.75,,,Simbad
map,cmd,stars,2151,FSR_1654,,205.522,-67.7,0.01,0.055,0.095,-8.65,-2.81,,4015.0,0.874,8.78,1.2,10.84,0.89,,,Simbad
map,cmd,stars,2152,NGC_5272,g,205.548,28.377,0.065,0.27,0.44,-5.64,-6.13,-147.6,10194.0,0.01,10.1,4.77,84.3,7.04,glo,-1.345,Simbad
map,cmd,stars,2153,SAI_118,,205.792,-63.16,0.012,0.085,0.14,-7.1,-1.44,,1602.0,0.396,7.3,0.71,5.41,46.46,,,Simbad
map,cmd,stars,2154,Dias_4,r,205.854,-63.0,0.02,0.08,0.13,-10.28,-0.45,,2155.0,0.583,9.26,,,,,,Simbad
map,cmd,stars,2156,NGC_5269,,206.182,-62.892,0.02,0.08,0.16,-7.03,-1.19,,1634.0,0.416,8.52,0.89,9.99,9.15,non,,Simbad
map,cmd,stars,2157,Loden_1010,,206.272,-60.23,0.02,0.09,0.155,-8.9,-0.1,-18.6,949.0,0.2,8.825,0.31,4.82,23.02,,,Simbad
map,cmd,stars,2158,Loden_991,,206.317,-62.035,0.02,0.07,0.11,-11.17,-2.17,,2628.0,1.249,7.25,2.8,10.28,2.11,,,Simbad
map,cmd,stars,2159,FSR_1647,,206.422,-73.96,0.03,0.095,0.17,-8.48,-1.53,,2436.0,0.208,9.455,1.56,12.59,1.85,,,Simbad
map,cmd,stars,2160,NGC_5286,g,206.611,-51.374,0.04,0.11,0.185,-6.24,-3.68,57.4,11711.0,0.239,10.1,2.21,40.25,6.32,glo,-1.445,Simbad
map,cmd,stars,2161,NGC_5281,,206.64,-62.925,0.035,0.115,0.215,-5.6,-2.6,-18.5,1211.0,0.26,7.76,1.31,6.96,15.72,,,Simbad
map,cmd,stars,2162,NGC_5284,,206.602,-59.2,0.02,0.14,0.21,-8.7,1.7,,1577.0,0.5,7.0,4.36,9.38,2.98,ast,,Simbad
map,cmd,stars,2163,ASCC_75,,206.812,-62.4,0.02,0.09,0.16,-4.7,-1.15,-15.0,2948.0,0.416,6.65,0.71,8.74,6.61,,,Simbad
map,cmd,stars,2166,Collinder_277,r,207.06,-66.075,0.02,0.08,0.13,-9.18,-5.01,,2204.0,0.416,8.3,0.58,8.46,5.95,,,Simbad
map,cmd,stars,2167,FSR_1666,r,207.15,-61.455,0.02,0.11,0.195,-8.37,-1.29,-60.7,2677.0,1.124,8.15,6.55,14.79,0.38,,,Simbad
map,cmd,stars,2168,NGC_5288,r,207.183,-64.695,0.018,0.06,0.12,-9.39,-1.46,,5086.0,0.833,9.1,2.83,23.86,0.49,,,Simbad
map,cmd,stars,2169,FSR_1673,,207.532,-50.667,0.018,0.08,0.12,-11.38,-3.39,,2154.0,0.104,9.5,1.91,9.57,2.02,,,Simbad
map,cmd,stars,2170,NGC_5299,,207.607,-59.945,0.017,0.07,0.11,-8.17,-0.26,,1847.0,0.833,8.7,2.24,8.85,1.49,ast,,Simbad
map,cmd,stars,2171,ASCC_76,,208.057,-66.405,0.025,0.115,0.22,-4.25,-3.8,-14.0,1025.0,0.458,7.75,5.5,7.07,10.37,,,Simbad
map,cmd,stars,2173,Platais_12,,208.147,-63.405,0.05,0.35,0.57,-8.05,-4.62,-12.0,491.0,0.135,8.4,1.4,5.59,14.31,,0.027,Simbad
map,cmd,stars,2174,Loden_1095,,208.402,-59.745,0.012,0.09,0.125,-9.64,-2.12,,4028.0,0.854,8.55,2.49,10.74,1.57,,,Simbad
map,cmd,stars,2175,NGC_5316,,208.485,-61.87,0.04,0.165,0.26,-6.3,-0.62,-15.1,1208.0,0.312,8.23,1.21,7.03,15.24,,0.045,Simbad
map,cmd,stars,2176,Loden_995,,208.575,-64.95,0.02,0.105,0.165,-4.7,0.05,-6.1,1481.0,0.458,8.625,2.44,7.14,2.85,,-0.131,Simbad
map,cmd,stars,2177,Loden_1002,,208.65,-65.335,0.018,0.085,0.14,-4.5,-3.84,,1332.0,0.396,8.0,0.66,4.11,14.69,dub,,Simbad
map,cmd,stars,2178,FSR_1683,r,208.659,-41.768,0.012,0.11,0.175,-8.8,-1.86,,3848.0,0.229,9.17,1.6,22.95,0.59,,,Simbad
map,cmd,stars,2179,ESO_445-74,r,208.662,-31.95,0.015,0.07,0.1,-7.25,-1.09,,3802.0,0.0,9.5,0.54,13.49,2.24,,,Simbad
map,cmd,stars,2180,FSR_1668,,208.725,-61.575,0.018,0.075,0.14,-10.42,-1.23,,1184.0,0.416,8.9,1.66,5.27,13.67,,,Simbad
map,cmd,stars,2181,FSR_1658,,208.762,-70.75,0.018,0.075,0.147,-10.39,-0.99,,4239.0,0.354,9.55,1.14,19.4,1.81,,,Simbad
map,cmd,stars,2184,FSR_1669,,209.07,-61.75,0.012,0.075,0.12,-8.55,-0.05,,1105.0,0.416,8.0,0.56,5.07,7.9,,,Simbad
map,cmd,stars,2185,FSR_1684,r,209.377,-42.87,0.02,0.09,0.16,-7.22,-2.16,,2733.0,0.052,9.4,1.48,11.28,0.74,,,Simbad
map,cmd,stars,2186,vdBergh-Hagen_155,,209.374,-59.58,0.01,0.08,0.13,-5.89,-0.67,,1864.0,0.458,8.44,0.63,10.24,10.46,non,,Simbad
map,cmd,stars,2188,FSR_1661,,209.482,-69.365,0.012,0.06,0.1,-9.87,3.3,,4331.0,0.208,9.4,1.86,17.24,0.93,,,Simbad
