recno	ID	NameLit	SourceCat	TypeSourceCat	Sep	SepTidal	SepTidalLit	SepTidalData	pmRASep	pmRASigma	pmDESep	pmDESigma	PlxSep	PlxSigma	maxSigma	meanSigma
69	6	ASCC_11	Cantat-Gaudin+20	gaia_dr2	0.01574	0.02522083	0.02522083	0.02606123	0.0207	0.0	0.04237	0.0	0.04075	0.0	0.0	0.0
70	6	ASCC_11	Dias+02	position	0.01449	0.0239983	0.04140584	0.0239983								
71	6	ASCC_11	Kharchenko+13	position	0.0139	0.02302123	0.03390735	0.02302123								
72	6	ASCC_11	Kharchenko+13	hipparcos	0.0139	0.02302123	0.03390735	0.02302123	0.3547	0.09933365	1.678	0.5306	0.01601	0.0	0.531	0.21
73	5876	ASCC_110	Kharchenko+13	position	0.1781	0.44311002	0.77443489	0.44311002								
74	5876	ASCC_110	Dias+02	position	0.1759	0.43760936	0.76482124	0.43760936								
75	57	ASCC_110	Cantat-Gaudin+20	gaia_dr2	0.01451	0.03391693	0.03573215	0.03391693	0.0271	0.0	0.02731	0.0	0.00251	0.0	0.0	0.0
76	57	ASCC_110	Dias+02	position	0.0477	0.11152054	0.2073937	0.11152054								
77	57	ASCC_110	Bica+18	position	0.0477	0.11152054	0.47700552	0.11152054								
78	57	ASCC_110	Kharchenko+13	position	0.04362	0.10198266	0.1896562	0.10198266								
79	2269	ASCC_111	Bica+18	position	0.1684	0.84217648	0.84217648	0.97080315								
80	58	ASCC_111	Cantat-Gaudin+20	gaia_dr2	0.05745	0.05348839	0.05348839	0.0711305	0.003871	0.0	0.05201	0.01301	0.01013	0.0	0.013	0.004337
81	58	ASCC_111	Bica+18	position	0.1482	0.18347585	0.74089539	0.18347585								
82	2269	ASCC_111	Dias+02	position	0.1684	0.30624599	0.30624599	0.97080315								
83	58	ASCC_111	Dias+02	position	0.1482	0.18347585	0.26941651	0.18347585								
84	116	ASCC_112	Kharchenko+13	position	0.0241	0.03458494	0.10478964	0.03458494								
85	116	ASCC_112	Kharchenko+13	hipparcos	0.0241	0.03458494	0.10478964	0.03458494	0.2012	0.0346419	0.9929	0.2161	0.1936	0.7335	0.733	0.3281
86	59	ASCC_113	Bica+18	position	0.06202	0.02646274	0.53161886	0.02646274								
87	59	ASCC_113	Dias+02	position	0.06202	0.02646274	0.13196213	0.02646274								
88	59	ASCC_113	Cantat-Gaudin+20	gaia_dr2	0.09554	0.04076281	0.09030065	0.04076281	0.02781	0.0	0.007418	0.0	0.002984	0.0	0.0	0.0
89	59	ASCC_113	Kharchenko+13	position	0.07342	0.03132587	0.22248543	0.03132587								
90	59	ASCC_113	Kharchenko+13	hipparcos	0.07342	0.03132587	0.22248543	0.03132587	0.4278	0.09635039	1.264	0.3095	0.202	0.684	0.684	0.3633
91	60	ASCC_114	Bica+18	position	0.03979	0.05395929	0.47742657	0.05395929								
92	60	ASCC_114	Cantat-Gaudin+20	gaia_dr2	0.0434	0.05886383	0.10046711	0.05886383	0.01795	0.0	0.05423	0.03665	0.005206	0.0	0.0367	0.01222
93	60	ASCC_114	Dias+02	position	0.03979	0.05395929	0.24865967	0.05395929								
94	60	ASCC_114	Kharchenko+13	position	0.0421	0.05710467	0.26315449	0.05710467								
95	61	ASCC_115	Cantat-Gaudin+20	gaia_dr2	0.0567	0.06307229	0.11340622	0.06307229	0.02774	0.0	0.1345	0.9452	0.01276	0.0	0.945	0.3151
96	61	ASCC_115	Bica+18	position	0.07187	0.07994482	0.86246165	0.07994482								
97	61	ASCC_115	Kharchenko+13	position	0.02812	0.03127833	0.13078962	0.03127833								
98	61	ASCC_115	Kharchenko+13	hipparcos	0.02812	0.03127833	0.13078962	0.03127833	0.9767	0.24835485	0.1525	0.02748	0.006095	0.0	0.248	0.09195
99	61	ASCC_115	Dias+02	position	0.07187	0.07994482	0.44919878	0.07994482								
100		ASCC_116	Dias+02	position												
101		ASCC_116	Kharchenko+13	position,hipparcos												
102		ASCC_116	Bica+18	position												
103		ASCC_117	Dias+02	position												
104		ASCC_117	Kharchenko+13	position,hipparcos												
105		ASCC_117	Bica+18	position												
106	112	ASCC_118	Kharchenko+13	position	0.05496	0.13254795	0.26807369	0.13254795								
107	112	ASCC_118	Kharchenko+13	hipparcos	0.05496	0.13254795	0.26807369	0.13254795	2.65	0.70873169	1.191	0.3112	0.1741	1.151	1.15	0.7235
108		ASCC_119	Dias+02	position												
109		ASCC_119	Kharchenko+13	position,hipparcos												
110		ASCC_119	Bica+18	position												
111	7	ASCC_12	Dias+02	position	0.04645	0.03507212	0.18579899	0.03507212								
112	7	ASCC_12	Kharchenko+13	position	0.04533	0.034228	0.20605364	0.034228								
113	7	ASCC_12	Cantat-Gaudin+20	gaia_dr2	0.03344	0.02525267	0.05518945	0.02525267	0.04205	0.0	0.1224	0.5917	0.01569	0.0	0.592	0.1972
114	7	ASCC_12	Bica+18	position	0.02014	0.01520903	0.08057177	0.01520903								
115		ASCC_120	Dias+02	position												
116		ASCC_120	Kharchenko+13	position,hipparcos												
117		ASCC_120	Bica+18	position												
118		ASCC_121	Dias+02	position												
119		ASCC_121	Kharchenko+13	position,hipparcos												
