recno	ID	NameLit	SourceCat	TypeSourceCat	Sep	SepTidal	SepTidalLit	SepTidalData	pmRASep	pmRASigma	pmDESep	pmDESigma	PlxSep	PlxSigma	maxSigma	meanSigma
855	163	BH_184	Vasiliev+21	gaia_dr3	0.001654	0.00496319	0.00496319	0.01374115	0.01508	0.0	0.004803	0.0	0.01977	0.0	0.0	0.0
856	131	BH_19	Kharchenko+13	hipparcos	0.005879	0.02369892	0.07349225	0.02369892	4.165	0.83956182	3.372	0.6778	0.05866	0.2512	0.84	0.5895
857	131	BH_19	Bica+18	position	0.00209	0.00842362	0.08359139	0.00842362								
858	131	BH_19	Cantat-Gaudin+20	gaia_dr2	0.002894	0.01166487	0.05787794	0.01166487	0.04186	0.0	0.0407	0.0	0.02918	0.0	0.0	0.0
859	131	BH_19	Kharchenko+13	position	0.005879	0.02369892	0.07349225	0.02369892								
860	131	BH_19	Dias+02	position	0.008113	0.03270175	0.32451441	0.03270175								
861		BH_197	Bica+18	position												
862		BH_197	Kharchenko+13	position,hipparcos												
863		BH_197	Dias+02	position												
864	164	BH_200	Dias+02	position	0.009008	0.03932981	0.21620065	0.03932981								
865	164	BH_200	Kharchenko+13	position	0.01271	0.05548316	0.11050633	0.05548316								
866	164	BH_200	Kharchenko+13	hipparcos	0.01271	0.05548316	0.11050633	0.05548316	5.343	0.99622287	0.1484	0.01853	0.1612	1.628	1.63	0.8808
867	164	BH_200	Cantat-Gaudin+20	gaia_dr2	0.01039	0.04534248	0.09616242	0.04534248	0.06243	0.09689943	0.03958	0.0	0.01621	0.0	0.0969	0.0323
868	164	BH_200	Bica+18	position	0.004873	0.02127661	0.14620003	0.02127661								
869	165	BH_202	Bica+18	position	0.007254	0.02389589	0.29016195	0.02389589								
870	165	BH_202	Dias+02	position	0.007307	0.02406976	0.17536397	0.02406976								
871	165	BH_202	Cantat-Gaudin+20	gaia_dr2	0.01151	0.03790827	0.08990447	0.03790827	0.006231	0.0	0.006684	0.0	0.03093	0.0	0.0	0.0
872		BH_203	Bica+18	position												
873	166	BH_205	Dias+02	position	0.01545	0.06041187	0.46362786	0.06041187								
874	1447	BH_205	Cantat-Gaudin+20	gaia_dr2	0.03866	0.09819338	0.19926268	0.09819338	0.01459	0.0	0.05709	0.0366	0.02984	0.0	0.0366	0.0122
875		BH_208	Dias+02	position												
876	167	BH_211	Cantat-Gaudin+20	gaia_dr2	0.005976	0.01875922	0.03643847	0.01875922	0.03939	0.0	0.01972	0.0	0.04895	0.0	0.0	0.0
877	167	BH_211	Bica+18	position	0.01511	0.04741991	0.36254441	0.04741991								
878	167	BH_211	Dias+02	position	0.01859	0.05836714	0.55780057	0.05836714								
879	167	BH_211	Kharchenko+13	hipparcos	0.01436	0.04508965	0.13679708	0.04508965	0.7696	0.11729949	0.3667	0.05163	0.0525	0.04078	0.117	0.0699
880	167	BH_211	Kharchenko+13	position	0.01436	0.04508965	0.13679708	0.04508965								
881		BH_214	Dias+02	position												
882		BH_214	Kharchenko+13	position,hipparcos												
883		BH_214	Bica+18	position												
884	168	BH_217	Bica+18	position	0.006147	0.03347453	0.14751634	0.03347453								
885	168	BH_217	Kharchenko+13	position	0.009235	0.0502924	0.09234572	0.0502924								
886	168	BH_217	Dias+02	position	0.001714	0.00933395	0.04113309	0.00933395								
887	168	BH_217	Cantat-Gaudin+20	gaia_dr2	0.003084	0.01679461	0.03953573	0.01679461	0.05061	0.00450793	0.02185	0.0	0.03014	0.0	0.00451	0.001503
888	169	BH_221	Kharchenko+13	hipparcos	0.0848	0.20846327	0.42398251	0.20846327	0.3799	0.06209814	2.428	0.4476	0.3041	1.84	1.84	0.7832
889	169	BH_221	Kharchenko+13	position	0.0848	0.20846327	0.42398251	0.20846327								
890	169	BH_221	Cantat-Gaudin+20	gaia_dr2	0.06851	0.16842049	0.22535632	0.16842049	0.02991	0.0	0.003998	0.0	0.02207	0.0	0.0	0.0
891	169	BH_221	Bica+18	position	0.09571	0.23530261	0.88351318	0.23530261								
892	170	BH_222	Kharchenko+13	position	0.1341	0.61671884	0.81302994	0.61671884								
893		BH_223	Kharchenko+13	position,hipparcos												
894		BH_223	Dias+02	position												
895	171	BH_229	Kharchenko+13	hipparcos	0.01818	0.05007208	0.13985773	0.05007208	1.745	0.32882753	9.121	1.76	0.008541	0.0	1.76	0.6962
896	171	BH_229	Vasiliev+21	gaia_dr3	0.004628	0.01274515	0.02985709	0.01274515	0.04804	0.0	0.008301	0.0	0.01055	0.0	0.0	0.0
897	171	BH_229	Kharchenko+13	position	0.01818	0.05007208	0.13985773	0.05007208								
898	3436	BH_23	Dias+02	position	0.2675	0.74037336	0.82311263	0.74037336								
899	132	BH_23	Cantat-Gaudin+20	gaia_dr2	0.02724	0.00590185	0.03661451	0.00590185	0.08201	0.12387857	0.03317	0.0	0.05344	0.03335	0.124	0.05241
900	132	BH_23	Dias+02	position	0.1256	0.02720097	0.38631243	0.02720097								
901	172	BH_231	Kharchenko+13	hipparcos	0.0355	0.16902489	0.16902489	0.19948498	5.185	0.9020478	0.4989	0.07885	0.01637	0.0	0.902	0.327
902	172	BH_231	Kharchenko+13	position	0.0355	0.16902489	0.16902489	0.19948498								
903	172	BH_231	Bica+18	position	0.01109	0.06235411	0.22189872	0.06235411								
904	173	BH_245	Kharchenko+13	position	0.006204	0.0326503	0.0326503	0.04456949								
905	173	BH_245	Cantat-Gaudin+20	gaia_dr2	0.006757	0.04854906	0.21117087	0.04854906	0.04366	0.0	0.06592	0.07986	0.006411	0.0	0.0799	0.02662
906	173	BH_245	Dias+02	position	0.006354	0.0456525	0.762516	0.0456525								
907	173	BH_245	Bica+18	position	0.006022	0.04326319	0.28904335	0.04326319								
908	174	BH_261	Vasiliev+21	gaia_dr3	0.006033	0.02286063	0.04891551	0.02286063	0.0346	0.0	0.04001	0.0	0.008401	0.0	0.0	0.0
909	174	BH_261	Kharchenko+13	hipparcos	0.008127	0.03079426	0.10158242	0.03079426	2.041	0.39840053	1.5	0.2902	0.03004	0.0	0.398	0.2295
910	174	BH_261	Kharchenko+13	position	0.008127	0.03079426	0.10158242	0.03079426								
911		BH_27C2	Bica+08	position_(magellanic_clouds)												
912		BH_34	Dias+02	position												
913		BH_34	Kharchenko+13	position,hipparcos												
914	133	BH_37	Cantat-Gaudin+20	gaia_dr2	0.006168	0.03838186	0.09070098	0.03838186	0.02127	0.0	0.03335	0.0	0.006782	0.0	0.0	0.0
915	133	BH_37	Kharchenko+13	position	0.01378	0.08573296	0.11480519	0.08573296								
916	133	BH_37	Kharchenko+13	hipparcos	0.01378	0.08573296	0.11480519	0.08573296	1.365	0.24466085	3.414	0.6257	0.08655	1.683	1.68	0.851
917	133	BH_37	Bica+18	position	0.005965	0.03712115	0.23860326	0.03712115								
918	133	BH_37	Dias+02	position	0.01282	0.07979163	0.51287582	0.07979163								
919		BH_4	Dias+02	position												
920		BH_4	Bica+18	position												
921		BH_46C2	Bica+08	position_(magellanic_clouds)												
922	4603	BH_52	Dias+02	position	0.03822	0.09788402	0.76449298	0.09788402								
923	134	BH_54	Kharchenko+13	position	0.01531	0.05287522	0.13314593	0.05287522								
924	134	BH_54	Cantat-Gaudin+20	gaia_dr2	9.331E-4	0.00322218	0.00971967	0.00322218	0.0505	0.00636343	0.07848	0.2883	0.02014	0.0	0.288	0.09822
925	134	BH_54	Dias+02	position	0.01496	0.05165967	0.44879335	0.05165967								
926	135	BH_55	Bica+18	position	0.00506	0.01995221	0.12142852	0.01995221								
927	135	BH_55	Cantat-Gaudin+20	gaia_dr2	0.004542	0.01790996	0.04730879	0.01790996	0.04064	0.0	0.007806	0.0	0.03276	0.0	0.0	0.0
928	135	BH_55	Kharchenko+13	position	0.01337	0.05271513	0.0954829	0.05271513								
929	135	BH_55	Dias+02	position	0.007049	0.02779887	0.42295754	0.02779887								
930	135	BH_55	Kharchenko+13	hipparcos	0.01337	0.05271513	0.0954829	0.05271513	1.35	0.24609606	3.424	0.6389	0.02781	0.0	0.639	0.295
931	136	BH_56	Kharchenko+13	position	0.09167	0.11381098	0.73335643	0.11381098								
932	3509	BH_56	Dias+02	position	0.1128	0.11548206	0.67687333	0.11548206								
933	136	BH_56	Dias+02	position	0.0693	0.08603269	0.41577245	0.08603269								
934	136	BH_56	Kharchenko+13	hipparcos	0.09167	0.11381098	0.73335643	0.11381098	0.6168	0.08828707	1.58	0.2383	0.2204	1.127	1.13	0.4846
935	136	BH_56	Cantat-Gaudin+20	gaia_dr2	0.04082	0.05067367	0.09491937	0.05067367	0.05325	0.01732911	0.04875	0.0	0.02943	0.0	0.0173	0.005776
936		BH_58	Bica+18	position												
937		BH_58	Kharchenko+13	position,hipparcos												
938		BH_58	Dias+02	position												
939		BH_63	Dias+02	position												
940		BH_63	Kharchenko+13	position,hipparcos												
941		BH_63	Bica+18	position												
942	137	BH_66	Dias+02	position	0.005559	0.03458212	0.16676656	0.03458212								
943	137	BH_66	Kharchenko+13	position	0.01299	0.0807983	0.1623485	0.0807983								
944	137	BH_66	Kharchenko+13	hipparcos	0.01299	0.0807983	0.1623485	0.0807983	1.424	0.20586885	0.58	0.07944	0.01839	0.0	0.206	0.0951
945	137	BH_66	Cantat-Gaudin+20	gaia_dr2	0.001606	0.0099888	0.03490531	0.0099888	0.02064	0.0	0.01096	0.0	0.03217	0.0	0.0	0.0
946	138	BH_67	Bica+18	position	0.002831	0.04890111	0.06176331	0.04890111								
947	138	BH_67	Dias+02	position	0.006751	0.11662431	0.20253667	0.11662431								
948	138	BH_67	Cantat-Gaudin+20	gaia_dr2	0.001691	0.02920431	0.03381195	0.02920431	0.04262	0.0	0.0597	0.07702	0.01714	0.0	0.077	0.02567
949	138	BH_67	Kharchenko+13	hipparcos	0.001446	0.01071067	0.01071067	0.02497798	3.627	0.85057083	2.849	0.6656	0.009678	0.0	0.851	0.5054
950	138	BH_67	Kharchenko+13	position	0.001446	0.01071067	0.01071067	0.02497798								
951	139	BH_72	Dias+02	position	0.009596	0.0678114	0.57576376	0.0678114								
952	139	BH_72	Kharchenko+13	position	0.006946	0.04908667	0.07718118	0.04908667								
953	139	BH_72	Bica+18	position	0.004834	0.03416081	0.19336532	0.03416081								
954	139	BH_72	Cantat-Gaudin+20	gaia_dr2	0.002936	0.02074913	0.06383113	0.02074913	0.09095	0.31196634	0.05497	0.07084	0.08291	0.618	0.618	0.3336
955	140	BH_73	Dias+02	position	0.006647	0.06332487	0.53173028	0.06332487								
956	140	BH_73	Kharchenko+13	position	0.01359	0.12940892	0.12940892	0.12945727								
957	140	BH_73	Cantat-Gaudin+20	gaia_dr2	0.00184	0.01752982	0.06571227	0.01752982	0.0452	0.0	0.02342	0.0	0.06242	0.106	0.106	0.03532
958	140	BH_73	Bica+18	position	0.002849	0.02714193	0.11395355	0.02714193								
959	141	BH_75	Kharchenko+13	position	0.1016	0.14941792	0.86083248	0.14941792								
960	142	BH_78	Kharchenko+13	hipparcos	0.009308	0.10289972	0.17900458	0.10289972	0.3143	0.05005577	0.3741	0.06138	0.05764	0.6069	0.607	0.2394
961	142	BH_78	Cantat-Gaudin+20	gaia_dr2	6.284E-4	0.00694674	0.02416914	0.00694674	0.06435	0.07309427	0.07586	0.1484	0.01893	0.0	0.148	0.07382
962	142	BH_78	Bica+18	position	8.935E-4	0.00987762	0.04288909	0.00987762								
963	142	BH_78	Kharchenko+13	position	0.009308	0.10289972	0.17900458	0.10289972								
964	143	BH_79	Kharchenko+13	position	0.09295	0.52675891	0.54676466	0.52675891								
965	144	BH_84	Kharchenko+13	position	0.00939	0.04498171	0.09883926	0.04498171								
966	1779	BH_84	Kharchenko+13	position	0.02403	0.08838937	0.25298887	0.08838937								
967	1779	BH_84	Dias+02	position	0.02848	0.10475443	0.85451295	0.10475443								
968	144	BH_84	Cantat-Gaudin+20	gaia_dr2	0.005755	0.0275716	0.11990517	0.0275716	0.02935	0.0	0.03978	0.0	0.03395	0.0	0.0	0.0
969	144	BH_84	Dias+02	position	0.00712	0.03410836	0.21359899	0.03410836								
970	145	BH_85	Bica+18	position	0.00842	0.08595034	0.20208417	0.08595034								
971	145	BH_85	Kharchenko+13	position	0.02343	0.19527501	0.19527501	0.23919631								
972	145	BH_85	Dias+02	position	0.005089	0.05194432	0.2035502	0.05194432								
973	145	BH_85	Cantat-Gaudin+20	gaia_dr2	0.002976	0.030374	0.04799365	0.030374	0.03023	0.0	0.02411	0.0	0.02971	0.0	0.0	0.0
974	146	BH_87	Cantat-Gaudin+20	gaia_dr2	0.005319	0.00777354	0.04029524	0.00777354	0.007446	0.0	0.02073	0.0	0.01407	0.0	0.0	0.0
975	146	BH_87	Kharchenko+13	hipparcos	0.01913	0.02795773	0.15941513	0.02795773	2.628	0.55828297	2.847	0.6058	0.1394	1.34	1.34	0.8347
976	146	BH_87	Kharchenko+13	position	0.01913	0.02795773	0.15941513	0.02795773								
977	147	BH_88	Dias+02	position	0.01333	0.05170917	0.39985409	0.05170917								
978	147	BH_88	Kharchenko+13	position	0.0503	0.19515986	0.41920066	0.19515986								
979	148	BH_90	Dias+02	position	0.01025	0.04953073	0.30739501	0.04953073								
980	148	BH_90	Cantat-Gaudin+20	gaia_dr2	0.008882	0.04293398	0.10327698	0.04293398	0.02366	0.0	0.05514	0.04203	0.00543	0.0	0.042	0.01401
981	148	BH_90	Kharchenko+13	hipparcos	0.01575	0.07611937	0.14997079	0.07611937	3.719	0.71613098	0.7899	0.1444	0.1152	1.128	1.13	0.6628
982	148	BH_90	Kharchenko+13	position	0.01575	0.07611937	0.14997079	0.07611937								
983		BH_91	Dias+02	position												
984		BH_91	Kharchenko+13	position,hipparcos												
985		BH_91	Bica+18	position												
986	149	BH_92	Bica+18	position	0.006965	0.04786916	0.18573567	0.04786916								
987	149	BH_92	Cantat-Gaudin+20	gaia_dr2	0.003673	0.02524456	0.09182875	0.02524456	0.03215	0.0	0.03158	0.0	4.178E-4	0.0	0.0	0.0
988	149	BH_92	Kharchenko+13	position	0.003428	0.02355841	0.02856509	0.02355841								
989	149	BH_92	Dias+02	position	0.006715	0.04614731	0.40287321	0.04614731								
990	150	BH_99	Kharchenko+13	hipparcos	0.0482	0.02814438	0.14177642	0.02814438	0.6273	0.13134694	0.9301	0.2002	0.3374	1.334	1.33	0.5553
991	150	BH_99	Kharchenko+13	position	0.0482	0.02814438	0.14177642	0.02814438								
992	150	BH_99	Dias+02	position	0.08437	0.04925968	0.50621399	0.04925968								
993	150	BH_99	Cantat-Gaudin+20	gaia_dr2	0.05874	0.03429454	0.05469051	0.03429454	0.01665	0.0	0.06113	0.03624	0.01762	0.0	0.0362	0.01208
994	3687	BH_99	Kharchenko+13	hipparcos	0.1596	0.12115073	0.46942523	0.12115073	0.808	0.17244806	0.8917	0.1915	0.004802	0.0	0.191	0.1213
995	3687	BH_99	Kharchenko+13	position	0.1596	0.12115073	0.46942523	0.12115073								
996		BIP_14	Kharchenko+13	position,hipparcos												
997		BKF_48	Bica+18	position												
998		BKF_49	Bica+18	position												
999		BM_1	Bica+08	position_(magellanic_clouds)												
1000		BM_10	Bica+08	position_(magellanic_clouds)												
1001		BM_106	Bica+08	position_(magellanic_clouds)												
1002		BM_117	Bica+08	position_(magellanic_clouds)												
1003		BM_118	Bica+08	position_(magellanic_clouds)												
1004		BM_123	Bica+08	position_(magellanic_clouds)												
1005		BM_132	Bica+08	position_(magellanic_clouds)												
1006		BM_133	Bica+08	position_(magellanic_clouds)												
1007		BM_137	Bica+08	position_(magellanic_clouds)												
1008		BM_138	Bica+08	position_(magellanic_clouds)												
1009		BM_14	Bica+08	position_(magellanic_clouds)												
1010		BM_149	Bica+08	position_(magellanic_clouds)												
1011		BM_152	Bica+08	position_(magellanic_clouds)												
1012		BM_161	Bica+08	position_(magellanic_clouds)												
1013		BM_165	Bica+08	position_(magellanic_clouds)												
1014		BM_17	Bica+08	position_(magellanic_clouds)												
1015		BM_170	Bica+08	position_(magellanic_clouds)												
1016		BM_177	Bica+08	position_(magellanic_clouds)												
1017		BM_178	Bica+08	position_(magellanic_clouds)												
1018		BM_18	Bica+08	position_(magellanic_clouds)												
1019		BM_190	Bica+08	position_(magellanic_clouds)												
1020		BM_193	Bica+08	position_(magellanic_clouds)												
1021		BM_200	Bica+08	position_(magellanic_clouds)												
1022		BM_211	Bica+08	position_(magellanic_clouds)												
1023		BM_220	Bica+08	position_(magellanic_clouds)												
1024		BM_221	Bica+08	position_(magellanic_clouds)												
1025		BM_226	Bica+08	position_(magellanic_clouds)												
1026		BM_227	Bica+08	position_(magellanic_clouds)												
1027		BM_232	Bica+08	position_(magellanic_clouds)												
1028		BM_233	Bica+08	position_(magellanic_clouds)												
1029		BM_242	Bica+08	position_(magellanic_clouds)												
1030		BM_248	Bica+08	position_(magellanic_clouds)												
1031		BM_255	Bica+08	position_(magellanic_clouds)												
1032		BM_258	Bica+08	position_(magellanic_clouds)												
1033		BM_264	Bica+08	position_(magellanic_clouds)												
1034		BM_281	Bica+08	position_(magellanic_clouds)												
1035		BM_3	Bica+08	position_(magellanic_clouds)												
1036		BM_31	Bica+08	position_(magellanic_clouds)												
1037		BM_36	Bica+08	position_(magellanic_clouds)												
1038		BM_37	Bica+08	position_(magellanic_clouds)												
1039		BM_41	Bica+08	position_(magellanic_clouds)												
1040		BM_42	Bica+08	position_(magellanic_clouds)												
1041		BM_46	Bica+08	position_(magellanic_clouds)												
1042		BM_50	Bica+08	position_(magellanic_clouds)												
1043		BM_61	Bica+08	position_(magellanic_clouds)												
1044		BM_62	Bica+08	position_(magellanic_clouds)												
1045		BM_66	Bica+08	position_(magellanic_clouds)												
1046		BM_68	Bica+08	position_(magellanic_clouds)												
1047		BM_7	Bica+08	position_(magellanic_clouds)												
1048		BM_71	Bica+08	position_(magellanic_clouds)												
1049		BM_72	Bica+08	position_(magellanic_clouds)												
1050		BM_78	Bica+08	position_(magellanic_clouds)												
1051		BM_8	Bica+08	position_(magellanic_clouds)												
1052		BM_82	Bica+08	position_(magellanic_clouds)												
1053		BM_84	Bica+08	position_(magellanic_clouds)												
1054		BM_86	Bica+08	position_(magellanic_clouds)												
1055		BM_95	Bica+08	position_(magellanic_clouds)												
1056		BRHT_10b	Bica+08	position_(magellanic_clouds)												
1057		BRHT_14b	Bica+08	position_(magellanic_clouds)												
1058		BRHT_15b	Bica+08	position_(magellanic_clouds)												
1059	7168	BRHT_16b	Bica+08	position_(magellanic_clouds)	0.008051	0.07115896	0.87829712	0.07115896								
1060		BRHT_17a	Bica+08	position_(magellanic_clouds)												
1061		BRHT_17b	Bica+08	position_(magellanic_clouds)												
1062		BRHT_18a	Bica+08	position_(magellanic_clouds)												
1063		BRHT_19a	Bica+08	position_(magellanic_clouds)												
1064		BRHT_19b	Bica+08	position_(magellanic_clouds)												
1065		BRHT_20b	Bica+08	position_(magellanic_clouds)												
1066		BRHT_25b	Bica+08	position_(magellanic_clouds)												
1067		BRHT_2b	Bica+08	position_(magellanic_clouds)												
1068		BRHT_30b	Bica+08	position_(magellanic_clouds)												
1069		BRHT_31b	Bica+08	position_(magellanic_clouds)												
1070		BRHT_32b	Bica+08	position_(magellanic_clouds)												
1071		BRHT_34b	Bica+08	position_(magellanic_clouds)												
1072		BRHT_36b	Bica+08	position_(magellanic_clouds)												
1073		BRHT_37b	Bica+08	position_(magellanic_clouds)												
1074		BRHT_38b	Bica+08	position_(magellanic_clouds)												
1075		BRHT_397	Bica+08	position_(magellanic_clouds)												
1076		BRHT_3b	Bica+08	position_(magellanic_clouds)												
1077		BRHT_41b	Bica+08	position_(magellanic_clouds)												
1078		BRHT_43b	Bica+08	position_(magellanic_clouds)												
1079		BRHT_44b	Bica+08	position_(magellanic_clouds)												
1080		BRHT_45b	Bica+08	position_(magellanic_clouds)												
1081		BRHT_47b	Bica+08	position_(magellanic_clouds)												
1082		BRHT_48b	Bica+08	position_(magellanic_clouds)												
1083		BRHT_4b	Bica+08	position_(magellanic_clouds)												
1084		BRHT_50a	Bica+08	position_(magellanic_clouds)												
1085		BRHT_54b	Bica+08	position_(magellanic_clouds)												
1086		BRHT_55b	Bica+08	position_(magellanic_clouds)												
1087		BRHT_57a	Bica+08	position_(magellanic_clouds)												
1088		BRHT_59a	Bica+08	position_(magellanic_clouds)												
1089		BRHT_5b	Bica+08	position_(magellanic_clouds)												
1090		BRHT_60a	Bica+08	position_(magellanic_clouds)												
1091		BRHT_60b	Bica+08	position_(magellanic_clouds)												
1092		BRHT_61a	Bica+08	position_(magellanic_clouds)												
1093		BRHT_62a	Bica+08	position_(magellanic_clouds)												
1094		BRHT_62b	Bica+08	position_(magellanic_clouds)												
1095		BRHT_63a	Bica+08	position_(magellanic_clouds)												
1096		BRHT_63b	Bica+08	position_(magellanic_clouds)												
1097		BRHT_64a	Bica+08	position_(magellanic_clouds)												
1098		BRHT_64b	Bica+08	position_(magellanic_clouds)												
1099		BRHT_6b	Bica+08	position_(magellanic_clouds)												
1100		BSBD_3	Bica+08	position_(magellanic_clouds)												
1101		BSBD_4	Bica+08	position_(magellanic_clouds)												
1102		BSBD_7	Bica+08	position_(magellanic_clouds)												
1103		BSDL_1	Bica+08	position_(magellanic_clouds)												
1104		BSDL_10	Bica+08	position_(magellanic_clouds)												
1105		BSDL_1013	Bica+08	position_(magellanic_clouds)												
1106		BSDL_1018	Bica+08	position_(magellanic_clouds)												
1107		BSDL_1024	Bica+08	position_(magellanic_clouds)												
1108		BSDL_103	Bica+08	position_(magellanic_clouds)												
1109		BSDL_1035	Bica+08	position_(magellanic_clouds)												
1110		BSDL_104	Bica+08	position_(magellanic_clouds)												
1111		BSDL_1047	Bica+08	position_(magellanic_clouds)												
1112		BSDL_1049	Bica+08	position_(magellanic_clouds)												
1113		BSDL_1053	Bica+08	position_(magellanic_clouds)												
1114		BSDL_1056	Bica+08	position_(magellanic_clouds)												
1115		BSDL_1058	Bica+08	position_(magellanic_clouds)												
1116		BSDL_1062	Bica+08	position_(magellanic_clouds)												
1117		BSDL_1069	Bica+08	position_(magellanic_clouds)												
1118		BSDL_1073	Bica+08	position_(magellanic_clouds)												
1119		BSDL_1080	Bica+08	position_(magellanic_clouds)												
1120		BSDL_1086	Bica+08	position_(magellanic_clouds)												
1121		BSDL_1089	Bica+08	position_(magellanic_clouds)												
1122		BSDL_1090	Bica+08	position_(magellanic_clouds)												
1123		BSDL_1092	Bica+08	position_(magellanic_clouds)												
1124		BSDL_1096	Bica+08	position_(magellanic_clouds)												
1125		BSDL_1099	Bica+08	position_(magellanic_clouds)												
1126		BSDL_11	Bica+08	position_(magellanic_clouds)												
1127		BSDL_1102	Bica+08	position_(magellanic_clouds)												
1128		BSDL_1103	Bica+08	position_(magellanic_clouds)												
1129		BSDL_1104	Bica+08	position_(magellanic_clouds)												
1130		BSDL_1105	Bica+08	position_(magellanic_clouds)												
1131		BSDL_1106	Bica+08	position_(magellanic_clouds)												
1132		BSDL_1108	Bica+08	position_(magellanic_clouds)												
1133		BSDL_1109	Bica+08	position_(magellanic_clouds)												
1134		BSDL_1113	Bica+08	position_(magellanic_clouds)												
1135		BSDL_1114	Bica+08	position_(magellanic_clouds)												
1136		BSDL_1115	Bica+08	position_(magellanic_clouds)												
1137		BSDL_1129	Bica+08	position_(magellanic_clouds)												
1138		BSDL_1139	Bica+08	position_(magellanic_clouds)												
1139		BSDL_1142	Bica+08	position_(magellanic_clouds)												
1140		BSDL_1143	Bica+08	position_(magellanic_clouds)												
1141		BSDL_1152	Bica+08	position_(magellanic_clouds)												
1142		BSDL_1157	Bica+08	position_(magellanic_clouds)												
1143		BSDL_1160	Bica+08	position_(magellanic_clouds)												
1144		BSDL_1161	Bica+08	position_(magellanic_clouds)												
1145		BSDL_1164	Bica+08	position_(magellanic_clouds)												
1146		BSDL_1169	Bica+08	position_(magellanic_clouds)												
1147		BSDL_1178	Bica+08	position_(magellanic_clouds)												
1148		BSDL_1181	Bica+08	position_(magellanic_clouds)												
1149		BSDL_1182	Bica+08	position_(magellanic_clouds)												
1150		BSDL_1186	Bica+08	position_(magellanic_clouds)												
1151		BSDL_1188	Bica+08	position_(magellanic_clouds)												
1152		BSDL_1191	Bica+08	position_(magellanic_clouds)												
1153		BSDL_1194	Bica+08	position_(magellanic_clouds)												
1154		BSDL_1198	Bica+08	position_(magellanic_clouds)												
1155		BSDL_1199	Bica+08	position_(magellanic_clouds)												
1156		BSDL_1212	Bica+08	position_(magellanic_clouds)												
1157		BSDL_1213	Bica+08	position_(magellanic_clouds)												
1158		BSDL_1218	Bica+08	position_(magellanic_clouds)												
1159		BSDL_1228	Bica+08	position_(magellanic_clouds)												
1160		BSDL_1234	Bica+08	position_(magellanic_clouds)												
1161		BSDL_1255	Bica+08	position_(magellanic_clouds)												
1162		BSDL_1258	Bica+08	position_(magellanic_clouds)												
1163		BSDL_1263	Bica+08	position_(magellanic_clouds)												
1164		BSDL_1267	Bica+08	position_(magellanic_clouds)												
1165		BSDL_1273	Bica+08	position_(magellanic_clouds)												
1166		BSDL_129	Bica+08	position_(magellanic_clouds)												
1167		BSDL_1291	Bica+08	position_(magellanic_clouds)												
1168		BSDL_1294	Bica+08	position_(magellanic_clouds)												
1169		BSDL_1299	Bica+08	position_(magellanic_clouds)												
1170		BSDL_1323	Bica+08	position_(magellanic_clouds)												
1171		BSDL_1330	Bica+08	position_(magellanic_clouds)												
1172		BSDL_1334	Bica+08	position_(magellanic_clouds)												
1173		BSDL_1335	Bica+08	position_(magellanic_clouds)												
1174		BSDL_1340	Bica+08	position_(magellanic_clouds)												
1175		BSDL_1341	Bica+08	position_(magellanic_clouds)												
1176		BSDL_1353	Bica+08	position_(magellanic_clouds)												
1177		BSDL_1355	Bica+08	position_(magellanic_clouds)												
1178		BSDL_1364	Bica+08	position_(magellanic_clouds)												
1179		BSDL_1367	Bica+08	position_(magellanic_clouds)												
1180		BSDL_137	Bica+08	position_(magellanic_clouds)												
1181		BSDL_1381	Bica+08	position_(magellanic_clouds)												
1182		BSDL_14	Bica+08	position_(magellanic_clouds)												
1183		BSDL_1426	Bica+08	position_(magellanic_clouds)												
1184		BSDL_143	Bica+08	position_(magellanic_clouds)												
1185		BSDL_1455	Bica+08	position_(magellanic_clouds)												
1186		BSDL_1468	Bica+08	position_(magellanic_clouds)												
1187		BSDL_1480	Bica+08	position_(magellanic_clouds)												
1188		BSDL_149	Bica+08	position_(magellanic_clouds)												
1189		BSDL_1491	Bica+08	position_(magellanic_clouds)												
1190		BSDL_1492	Bica+08	position_(magellanic_clouds)												
1191		BSDL_1493	Bica+08	position_(magellanic_clouds)												
1192		BSDL_1496	Bica+08	position_(magellanic_clouds)												
1193		BSDL_1497	Bica+08	position_(magellanic_clouds)												
1194		BSDL_15	Bica+08	position_(magellanic_clouds)												
1195		BSDL_1504	Bica+08	position_(magellanic_clouds)												
1196		BSDL_1511	Bica+08	position_(magellanic_clouds)												
1197		BSDL_1514	Bica+08	position_(magellanic_clouds)												
1198		BSDL_1516	Bica+08	position_(magellanic_clouds)												
1199		BSDL_1520	Bica+08	position_(magellanic_clouds)												
1200		BSDL_1522	Bica+08	position_(magellanic_clouds)												
1201		BSDL_1532	Bica+08	position_(magellanic_clouds)												
1202		BSDL_1539	Bica+08	position_(magellanic_clouds)												
1203		BSDL_1540	Bica+08	position_(magellanic_clouds)												
1204		BSDL_1542	Bica+08	position_(magellanic_clouds)												
1205		BSDL_1551	Bica+08	position_(magellanic_clouds)												
1206		BSDL_1576	Bica+08	position_(magellanic_clouds)												
1207		BSDL_1577	Bica+08	position_(magellanic_clouds)												
1208		BSDL_1587	Bica+08	position_(magellanic_clouds)												
1209		BSDL_1588	Bica+08	position_(magellanic_clouds)												
1210		BSDL_1592	Bica+08	position_(magellanic_clouds)												
1211		BSDL_1597	Bica+08	position_(magellanic_clouds)												
