ID,NameLit,SourceCat,TypeSourceCat,Sep,SepTidal,SepTidalLit,SepTidalData,pmRASep,pmRASigma,pmDESep,pmDESigma,PlxSep,PlxSigma,maxSigma,meanSigma
56,ASCC_108,Dias+02,position,0.05857,0.03782996,0.26622133,0.03782996,,,,,,,,
56,ASCC_108,Bica+18,position,0.05923,0.03825757,0.71076873,0.03825757,,,,,,,,
56,ASCC_108,Kharchenko+13,hipparcos,0.07772,0.05019929,0.55513572,0.05019929,0.125,0.01601556,1.357,0.2793,0.09447,0.4148,0.415,0.2367
0,ASCC_109,Dias+02,position,,,,,,,,,,,,
0,ASCC_109,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,ASCC_109,Bica+18,position,,,,,,,,,,,,
6,ASCC_11,Bica+18,position,0.01449,0.0239983,0.08695226,0.0239983,,,,,,,,
6,ASCC_11,Cantat-Gaudin+20,gaia_dr2,0.01574,0.02522083,0.02522083,0.02606123,0.0207,0.0,0.04237,0.0,0.04075,0.0,0.0,0.0
6,ASCC_11,Dias+02,position,0.01449,0.0239983,0.04140584,0.0239983,,,,,,,,
6,ASCC_11,Kharchenko+13,position,0.0139,0.02302123,0.03390735,0.02302123,,,,,,,,
6,ASCC_11,Kharchenko+13,hipparcos,0.0139,0.02302123,0.03390735,0.02302123,0.3547,0.09933365,1.678,0.5306,0.01601,0.0,0.531,0.21
5876,ASCC_110,Kharchenko+13,position,0.1781,0.44311002,0.77443489,0.44311002,,,,,,,,
5876,ASCC_110,Dias+02,position,0.1759,0.43760936,0.76482124,0.43760936,,,,,,,,
57,ASCC_110,Cantat-Gaudin+20,gaia_dr2,0.01451,0.03391693,0.03573215,0.03391693,0.0271,0.0,0.02731,0.0,0.00251,0.0,0.0,0.0
57,ASCC_110,Dias+02,position,0.0477,0.11152054,0.2073937,0.11152054,,,,,,,,
57,ASCC_110,Bica+18,position,0.0477,0.11152054,0.47700552,0.11152054,,,,,,,,
57,ASCC_110,Kharchenko+13,position,0.04362,0.10198266,0.1896562,0.10198266,,,,,,,,
2269,ASCC_111,Bica+18,position,0.1684,0.84217648,0.84217648,0.97080315,,,,,,,,
58,ASCC_111,Cantat-Gaudin+20,gaia_dr2,0.05745,0.05348839,0.05348839,0.0711305,0.003871,0.0,0.05201,0.01301,0.01013,0.0,0.013,0.004337
58,ASCC_111,Bica+18,position,0.1482,0.18347585,0.74089539,0.18347585,,,,,,,,
2269,ASCC_111,Dias+02,position,0.1684,0.30624599,0.30624599,0.97080315,,,,,,,,
58,ASCC_111,Dias+02,position,0.1482,0.18347585,0.26941651,0.18347585,,,,,,,,
116,ASCC_112,Kharchenko+13,position,0.0241,0.03458494,0.10478964,0.03458494,,,,,,,,
116,ASCC_112,Kharchenko+13,hipparcos,0.0241,0.03458494,0.10478964,0.03458494,0.2012,0.0346419,0.9929,0.2161,0.1936,0.7335,0.733,0.3281
59,ASCC_113,Bica+18,position,0.06202,0.02646274,0.53161886,0.02646274,,,,,,,,
59,ASCC_113,Dias+02,position,0.06202,0.02646274,0.13196213,0.02646274,,,,,,,,
59,ASCC_113,Cantat-Gaudin+20,gaia_dr2,0.09554,0.04076281,0.09030065,0.04076281,0.02781,0.0,0.007418,0.0,0.002984,0.0,0.0,0.0
59,ASCC_113,Kharchenko+13,position,0.07342,0.03132587,0.22248543,0.03132587,,,,,,,,
59,ASCC_113,Kharchenko+13,hipparcos,0.07342,0.03132587,0.22248543,0.03132587,0.4278,0.09635039,1.264,0.3095,0.202,0.684,0.684,0.3633
60,ASCC_114,Bica+18,position,0.03979,0.05395929,0.47742657,0.05395929,,,,,,,,
60,ASCC_114,Cantat-Gaudin+20,gaia_dr2,0.0434,0.05886383,0.10046711,0.05886383,0.01795,0.0,0.05423,0.03665,0.005206,0.0,0.0367,0.01222
60,ASCC_114,Dias+02,position,0.03979,0.05395929,0.24865967,0.05395929,,,,,,,,
60,ASCC_114,Kharchenko+13,position,0.0421,0.05710467,0.26315449,0.05710467,,,,,,,,
61,ASCC_115,Cantat-Gaudin+20,gaia_dr2,0.0567,0.06307229,0.11340622,0.06307229,0.02774,0.0,0.1345,0.9452,0.01276,0.0,0.945,0.3151
61,ASCC_115,Bica+18,position,0.07187,0.07994482,0.86246165,0.07994482,,,,,,,,
61,ASCC_115,Kharchenko+13,position,0.02812,0.03127833,0.13078962,0.03127833,,,,,,,,
61,ASCC_115,Kharchenko+13,hipparcos,0.02812,0.03127833,0.13078962,0.03127833,0.9767,0.24835485,0.1525,0.02748,0.006095,0.0,0.248,0.09195
61,ASCC_115,Dias+02,position,0.07187,0.07994482,0.44919878,0.07994482,,,,,,,,
0,ASCC_116,Dias+02,position,,,,,,,,,,,,
0,ASCC_116,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,ASCC_116,Bica+18,position,,,,,,,,,,,,
0,ASCC_117,Dias+02,position,,,,,,,,,,,,
0,ASCC_117,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,ASCC_117,Bica+18,position,,,,,,,,,,,,
112,ASCC_118,Kharchenko+13,position,0.05496,0.13254795,0.26807369,0.13254795,,,,,,,,
