recno	ID	NameLit	SourceCat	TypeSourceCat	Sep
41		ASCC_102	Kharchenko+13	position,hipparcos	
42	5400	ASCC_103	Kharchenko+13	position	0.04886
43	52	ASCC_104	Kharchenko+13	position	0.06364
44	52	ASCC_104	Bica+18	position	0.07506
45	2145	ASCC_104	Dias+02	position	0.1507
46	2145	ASCC_104	Kharchenko+13	hipparcos	0.1382
47	2145	ASCC_104	Kharchenko+13	position	0.1382
48	52	ASCC_104	Dias+02	position	0.07506
49	53	ASCC_105	Dias+02	position	0.02727
50	53	ASCC_105	Kharchenko+13	position	0.07252
51	53	ASCC_105	Kharchenko+13	hipparcos	0.07252
52	53	ASCC_105	Bica+18	position	0.02727
53	53	ASCC_105	Cantat-Gaudin+20	gaia_dr2	0.07076
54	54	ASCC_106	Kharchenko+13	position	0.06867
55	55	ASCC_107	Bica+18	position	0.02602
56	55	ASCC_107	Dias+02	position	0.02602
57	55	ASCC_107	Kharchenko+13	position	0.04846
58	55	ASCC_107	Cantat-Gaudin+20	gaia_dr2	0.01353
59	55	ASCC_107	Kharchenko+13	hipparcos	0.04846
60	56	ASCC_108	Kharchenko+13	position	0.07772
61	56	ASCC_108	Cantat-Gaudin+20	gaia_dr2	0.06314
62	56	ASCC_108	Dias+02	position	0.05857
63	56	ASCC_108	Bica+18	position	0.05923
64	56	ASCC_108	Kharchenko+13	hipparcos	0.07772
65		ASCC_109	Dias+02	position	
66		ASCC_109	Kharchenko+13	position,hipparcos	
67		ASCC_109	Bica+18	position	
68	6	ASCC_11	Bica+18	position	0.01449
69	6	ASCC_11	Cantat-Gaudin+20	gaia_dr2	0.01574
70	6	ASCC_11	Dias+02	position	0.01449
71	6	ASCC_11	Kharchenko+13	position	0.0139
72	6	ASCC_11	Kharchenko+13	hipparcos	0.0139
73	5876	ASCC_110	Kharchenko+13	position	0.1781
74	5876	ASCC_110	Dias+02	position	0.1759
75	57	ASCC_110	Cantat-Gaudin+20	gaia_dr2	0.01451
76	57	ASCC_110	Dias+02	position	0.0477
77	57	ASCC_110	Bica+18	position	0.0477
78	57	ASCC_110	Kharchenko+13	position	0.04362
79	2269	ASCC_111	Bica+18	position	0.1684
80	58	ASCC_111	Cantat-Gaudin+20	gaia_dr2	0.05745
81	58	ASCC_111	Bica+18	position	0.1482
82	2269	ASCC_111	Dias+02	position	0.1684
83	58	ASCC_111	Dias+02	position	0.1482
84	116	ASCC_112	Kharchenko+13	position	0.0241
85	116	ASCC_112	Kharchenko+13	hipparcos	0.0241
86	59	ASCC_113	Bica+18	position	0.06202
87	59	ASCC_113	Dias+02	position	0.06202
88	59	ASCC_113	Cantat-Gaudin+20	gaia_dr2	0.09554
89	59	ASCC_113	Kharchenko+13	position	0.07342
90	59	ASCC_113	Kharchenko+13	hipparcos	0.07342
91	60	ASCC_114	Bica+18	position	0.03979
92	60	ASCC_114	Cantat-Gaudin+20	gaia_dr2	0.0434
93	60	ASCC_114	Dias+02	position	0.03979
94	60	ASCC_114	Kharchenko+13	position	0.0421
95	61	ASCC_115	Cantat-Gaudin+20	gaia_dr2	0.0567
96	61	ASCC_115	Bica+18	position	0.07187
97	61	ASCC_115	Kharchenko+13	position	0.02812
98	61	ASCC_115	Kharchenko+13	hipparcos	0.02812
99	61	ASCC_115	Dias+02	position	0.07187
100		ASCC_116	Dias+02	position	
101		ASCC_116	Kharchenko+13	position,hipparcos	
102		ASCC_116	Bica+18	position	
103		ASCC_117	Dias+02	position	
104		ASCC_117	Kharchenko+13	position,hipparcos	
105		ASCC_117	Bica+18	position	
106	112	ASCC_118	Kharchenko+13	position	0.05496
107	112	ASCC_118	Kharchenko+13	hipparcos	0.05496
108		ASCC_119	Dias+02	position	
109		ASCC_119	Kharchenko+13	position,hipparcos	
110		ASCC_119	Bica+18	position	
111	7	ASCC_12	Dias+02	position	0.04645
112	7	ASCC_12	Kharchenko+13	position	0.04533
113	7	ASCC_12	Cantat-Gaudin+20	gaia_dr2	0.03344
114	7	ASCC_12	Bica+18	position	0.02014
115		ASCC_120	Dias+02	position	
116		ASCC_120	Kharchenko+13	position,hipparcos	
117		ASCC_120	Bica+18	position	
118		ASCC_121	Dias+02	position	
119		ASCC_121	Kharchenko+13	position,hipparcos	
120		ASCC_121	Bica+18	position	
121	6155	ASCC_122	Dias+02	position	0.5311
122	62	ASCC_123	Bica+18	position	0.0796
123	5514	ASCC_123	Cantat-Gaudin+20	gaia_dr2	0.4843
124	5514	ASCC_123	Dias+02	position	0.4323
125	2473	ASCC_123	Dias+02	position	0.4254
126	62	ASCC_123	Dias+02	position	0.0796
127	401	ASCC_123	Dias+02	position	0.5589
128	87	ASCC_124	Kharchenko+13	hipparcos	0.05593
129	87	ASCC_124	Kharchenko+13	position	0.05593
130	2517	ASCC_125	Bica+18	position	0.1331
131	63	ASCC_125	Dias+02	position	0.04193
132	2517	ASCC_125	Dias+02	position	0.1331
133	5474	ASCC_125	Dias+02	position	0.2287
134	5474	ASCC_125	Bica+18	position	0.2287
135	63	ASCC_125	Bica+18	position	0.04193
136		ASCC_126	Bica+18	position	
137		ASCC_126	Kharchenko+13	position,hipparcos	
138		ASCC_126	Dias+02	position	
139	64	ASCC_127	Cantat-Gaudin+20	gaia_dr2	0.2129
140	64	ASCC_127	Kharchenko+13	hipparcos	0.3403
141	64	ASCC_127	Kharchenko+13	position	0.3403
142	64	ASCC_127	Dias+02	position	0.3437
143	65	ASCC_128	Dias+02	position	0.02813
144	65	ASCC_128	Cantat-Gaudin+20	gaia_dr2	0.1854
145	65	ASCC_128	Bica+18	position	0.02813
146	65	ASCC_128	Kharchenko+13	position	0.1185
147	110	ASCC_129	Kharchenko+13	hipparcos	0.0136
148	110	ASCC_129	Kharchenko+13	position	0.0136
149	8	ASCC_13	Bica+18	position	0.2285
150	8	ASCC_13	Cantat-Gaudin+20	gaia_dr2	0.05747
151	8	ASCC_13	Dias+02	position	0.2285
152	8	ASCC_13	Kharchenko+13	hipparcos	0.2822
153	8	ASCC_13	Kharchenko+13	position	0.2822
154		ASCC_130	Kharchenko+13	position,hipparcos	
155		ASCC_130	Bica+18	position	
156		ASCC_130	Dias+02	position	
157	2876	ASCC_14	Bica+18	position	0.1479
158	2876	ASCC_14	Dias+02	position	0.1479
159	9	ASCC_14	Dias+02	position	0.1028
160	9	ASCC_14	Bica+18	position	0.1028
161	9	ASCC_14	Kharchenko+13	position	0.09262
162	9	ASCC_14	Kharchenko+13	hipparcos	0.09262
163		ASCC_15	Bica+18	position	
164		ASCC_15	Kharchenko+13	position,hipparcos	
165		ASCC_15	Dias+02	position	
166	290	ASCC_16	Cantat-Gaudin+20	gaia_dr2	0.1216
167	290	ASCC_16	Kharchenko+13	hipparcos	0.07239
168	290	ASCC_16	Kharchenko+13	position	0.07239
169		ASCC_17	Kharchenko+13	position,hipparcos	
170		ASCC_17	Bica+18	position	
171		ASCC_17	Dias+02	position	
172	10	ASCC_18	Dias+02	position	0.4993
173	11	ASCC_19	Dias+02	position	0.1281
174	5518	ASCC_19	Dias+02	position	0.579
175	11	ASCC_19	Cantat-Gaudin+20	gaia_dr2	0.131
176	11	ASCC_19	Kharchenko+13	position	0.1226
177	11	ASCC_19	Kharchenko+13	hipparcos	0.1226
178	6172	ASCC_2	Kharchenko+13	position	0.1247
179	6172	ASCC_2	Bica+18	position	0.04324
180	5617	ASCC_2	Dias+02	position	0.1946
181	5617	ASCC_2	Bica+18	position	0.1946
182	6172	ASCC_2	Dias+02	position	0.04324
183	12	ASCC_20	Dias+02	position	0.09187
184	12	ASCC_20	Kharchenko+13	hipparcos	0.08143
185	12	ASCC_20	Kharchenko+13	position	0.08143
186	13	ASCC_21	Dias+02	position	0.05497
187	13	ASCC_21	Cantat-Gaudin+20	gaia_dr2	0.08615
188	1704	ASCC_22	Kharchenko+13	position	0.02989
189	1704	ASCC_22	Kharchenko+13	hipparcos	0.02989
190	14	ASCC_23	Cantat-Gaudin+20	gaia_dr2	0.02701
191	14	ASCC_23	Dias+02	position	0.03992
192	14	ASCC_23	Kharchenko+13	hipparcos	0.04198
193	14	ASCC_23	Kharchenko+13	position	0.04198
194	15	ASCC_24	Bica+18	position	0.07846
195	15	ASCC_24	Dias+02	position	0.07846
196		ASCC_25	Kharchenko+13	position,hipparcos	
197		ASCC_25	Bica+18	position	
198		ASCC_25	Dias+02	position	
199		ASCC_26	Bica+18	position	
200		ASCC_26	Kharchenko+13	position,hipparcos	
201		ASCC_26	Dias+02	position	
202	16	ASCC_27	Kharchenko+13	position	0.1245
203	16	ASCC_27	Bica+18	position	0.1283
204	16	ASCC_27	Dias+02	position	0.1283
205	17	ASCC_28	Kharchenko+13	position	0.1239
206	17	ASCC_28	Dias+02	position	0.07592
207	17	ASCC_28	Kharchenko+13	hipparcos	0.1239
208	1620	ASCC_28	Dias+02	position	0.2221
209	18	ASCC_29	Bica+18	position	0.02366
210	18	ASCC_29	Dias+02	position	0.02366
211	18	ASCC_29	Cantat-Gaudin+20	gaia_dr2	0.01857
212	18	ASCC_29	Kharchenko+13	hipparcos	0.02261
213	18	ASCC_29	Kharchenko+13	position	0.02261
214		ASCC_3	Bica+18	position	
215		ASCC_3	Dias+02	position	
216	19	ASCC_30	Cantat-Gaudin+20	gaia_dr2	0.03797
217	19	ASCC_30	Dias+02	position	0.01281
218	19	ASCC_30	Kharchenko+13	hipparcos	0.0198
219	19	ASCC_30	Kharchenko+13	position	0.0198
220		ASCC_31	Kharchenko+13	position,hipparcos	
221		ASCC_31	Bica+18	position	
222		ASCC_31	Dias+02	position	
223	84	ASCC_32	Kharchenko+13	position	0.2555
224	84	ASCC_32	Cantat-Gaudin+20	gaia_dr2	0.1466
225	84	ASCC_32	Kharchenko+13	hipparcos	0.2555
226	20	ASCC_33	Dias+02	position	0.6869
227	20	ASCC_33	Bica+18	position	0.6869
228		ASCC_34	Dias+02	position	
229		ASCC_34	Kharchenko+13	position,hipparcos	
230		ASCC_34	Bica+18	position	
231		ASCC_35	Bica+18	position	
232		ASCC_35	Kharchenko+13	position,hipparcos	
233		ASCC_35	Dias+02	position	
234	21	ASCC_36	Kharchenko+13	hipparcos	0.02249
235	21	ASCC_36	Bica+18	position	0.02018
236	21	ASCC_36	Dias+02	position	0.02018
237	21	ASCC_36	Kharchenko+13	position	0.02249
238		ASCC_37	Dias+02	position	
239		ASCC_37	Kharchenko+13	position,hipparcos	
240		ASCC_37	Bica+18	position	
241		ASCC_38	Dias+02	position	
242		ASCC_38	Kharchenko+13	position,hipparcos	
243		ASCC_38	Bica+18	position	
244		ASCC_39	Dias+02	position	
245		ASCC_39	Kharchenko+13	position,hipparcos	
246		ASCC_39	Bica+18	position	
247		ASCC_4	Kharchenko+13	position,hipparcos	
248		ASCC_4	Bica+18	position	
249		ASCC_4	Dias+02	position	
250		ASCC_40	Bica+18	position	
251		ASCC_40	Kharchenko+13	position,hipparcos	
252		ASCC_40	Dias+02	position	
253	4268	ASCC_41	Kharchenko+13	position	0.06821
254	4268	ASCC_41	Cantat-Gaudin+20	gaia_dr2	0.06871
255	111	ASCC_42	Kharchenko+13	hipparcos	0.08777
256	111	ASCC_42	Kharchenko+13	position	0.08777
257	5326	ASCC_43	Dias+02	position	0.2157
258	5326	ASCC_43	Kharchenko+13	position	0.2099
259		ASCC_44	Kharchenko+13	position,hipparcos	
260	5505	ASCC_45	Bica+18	position	0.08139
261	22	ASCC_45	Dias+02	position	0.1517
262	5505	ASCC_45	Dias+02	position	0.08139
263	22	ASCC_45	Bica+18	position	0.1517
264		ASCC_46	Bica+18	position	
265		ASCC_46	Kharchenko+13	position,hipparcos	
266		ASCC_46	Dias+02	position	
267		ASCC_47	Kharchenko+13	position,hipparcos	
268		ASCC_48	Dias+02	position	
269		ASCC_48	Bica+18	position	
270		ASCC_48	Kharchenko+13	position,hipparcos	
271	5401	ASCC_49	Kharchenko+13	position	0.2252
272	5401	ASCC_49	Kharchenko+13	hipparcos	0.2252
273	3	ASCC_5	Dias+02	position	0.01668
274	3	ASCC_5	Bica+18	position	0.01668
275	3	ASCC_5	Kharchenko+13	position	0.04338
276	89	ASCC_50	Kharchenko+13	hipparcos	0.03077
277	89	ASCC_50	Kharchenko+13	position	0.03077
278	23	ASCC_51	Kharchenko+13	position	0.3447
279	23	ASCC_51	Bica+18	position	0.3513
280	23	ASCC_51	Dias+02	position	0.3513
281	23	ASCC_51	Kharchenko+13	hipparcos	0.3447
282	24	ASCC_52	Dias+02	position	0.2683
283		ASCC_53	Kharchenko+13	position,hipparcos	
284		ASCC_53	Dias+02	position	
285		ASCC_53	Bica+18	position	
286		ASCC_54	Kharchenko+13	position,hipparcos	
287		ASCC_54	Dias+02	position	
288		ASCC_54	Bica+18	position	
289		ASCC_55	Kharchenko+13	position,hipparcos	
290		ASCC_55	Dias+02	position	
291		ASCC_55	Bica+18	position	
292		ASCC_56	Dias+02	position	
293		ASCC_56	Kharchenko+13	position,hipparcos	
294		ASCC_56	Bica+18	position	
295		ASCC_57	Dias+02	position	
296		ASCC_57	Kharchenko+13	position,hipparcos	
297		ASCC_57	Bica+18	position	
298	444	ASCC_58	Dias+02	position	0.3696
299	444	ASCC_58	Bica+18	position	0.3696
300	25	ASCC_58	Kharchenko+13	hipparcos	0.05832
301	25	ASCC_58	Kharchenko+13	position	0.05832
302	25	ASCC_58	Bica+18	position	0.06567
303	25	ASCC_58	Dias+02	position	0.06567
304	25	ASCC_58	Cantat-Gaudin+20	gaia_dr2	0.0339
305	26	ASCC_59	Bica+18	position	0.1852
306	26	ASCC_59	Dias+02	position	0.1852
307	26	ASCC_59	Kharchenko+13	position	0.1503
308	4	ASCC_6	Bica+18	position	0.02203
309	4	ASCC_6	Kharchenko+13	position	0.05979
310	4	ASCC_6	Dias+02	position	0.02203
311	4	ASCC_6	Cantat-Gaudin+20	gaia_dr2	0.01673
312	4	ASCC_6	Kharchenko+13	hipparcos	0.05979
313	27	ASCC_60	Kharchenko+13	position	0.1611
314	28	ASCC_61	Dias+02	position	0.1874
315	28	ASCC_61	Bica+18	position	0.1874
316	29	ASCC_62	Kharchenko+13	position	0.002376
317	29	ASCC_62	Dias+02	position	0.02645
318	29	ASCC_62	Kharchenko+13	hipparcos	0.002376
319	29	ASCC_62	Bica+18	position	0.02645
320	30	ASCC_63	Kharchenko+13	position	0.08439
321	30	ASCC_63	Dias+02	position	0.09255
322	30	ASCC_63	Bica+18	position	0.09255
323		ASCC_64	Dias+02	position	
324		ASCC_64	Kharchenko+13	position,hipparcos	
325		ASCC_64	Bica+18	position	
326	31	ASCC_65	Kharchenko+13	hipparcos	0.06008
327	31	ASCC_65	Dias+02	position	0.05497
328	31	ASCC_65	Bica+18	position	0.05497
329	31	ASCC_65	Kharchenko+13	position	0.06008
330	32	ASCC_66	Kharchenko+13	hipparcos	0.02968
331	32	ASCC_66	Cantat-Gaudin+20	gaia_dr2	0.01709
332	32	ASCC_66	Kharchenko+13	position	0.02968
333	32	ASCC_66	Dias+02	position	0.03482
334	32	ASCC_66	Bica+18	position	0.03482
335	33	ASCC_67	Kharchenko+13	position	0.04682
336	33	ASCC_67	Cantat-Gaudin+20	gaia_dr2	0.06346
337	33	ASCC_67	Kharchenko+13	hipparcos	0.04682
338	33	ASCC_67	Bica+18	position	0.0366
339	33	ASCC_67	Dias+02	position	0.0366
340	113	ASCC_68	Kharchenko+13	hipparcos	0.03353
341	113	ASCC_68	Kharchenko+13	position	0.03353
342	34	ASCC_69	Kharchenko+13	position	0.0773
343	34	ASCC_69	Kharchenko+13	hipparcos	0.0773
344	34	ASCC_69	Bica+18	position	0.08918
345	34	ASCC_69	Dias+02	position	0.08918
346	3799	ASCC_69	Dias+02	position	0.3251
347	3799	ASCC_69	Bica+18	position	0.3251
348		ASCC_7	Kharchenko+13	position,hipparcos	
349		ASCC_7	Bica+18	position	
350		ASCC_7	Dias+02	position	
351		ASCC_70	Bica+18	position	
352		ASCC_70	Dias+02	position	
353		ASCC_70	Kharchenko+13	position,hipparcos	
354	35	ASCC_71	Kharchenko+13	hipparcos	0.01167
355	35	ASCC_71	Cantat-Gaudin+20	gaia_dr2	0.05353
356	35	ASCC_71	Bica+18	position	0.002706
357	35	ASCC_71	Kharchenko+13	position	0.01167
358	35	ASCC_71	Dias+02	position	0.002706
359	36	ASCC_72	Bica+18	position	0.1038
360	37	ASCC_73	Dias+02	position	0.09693
361	37	ASCC_73	Kharchenko+13	hipparcos	0.08781
362	37	ASCC_73	Kharchenko+13	position	0.08781
363	37	ASCC_73	Cantat-Gaudin+20	gaia_dr2	0.008391
364	37	ASCC_73	Bica+18	position	0.09693
365		ASCC_74	Kharchenko+13	position,hipparcos	
366		ASCC_74	Bica+18	position	
367		ASCC_74	Dias+02	position	
368	38	ASCC_75	Bica+18	position	0.0726
369	38	ASCC_75	Dias+02	position	0.0726
370	38	ASCC_75	Kharchenko+13	position	0.07641
371		ASCC_76	Bica+18	position	
372		ASCC_76	Kharchenko+13	position,hipparcos	
373		ASCC_76	Dias+02	position	
374	39	ASCC_77	Dias+02	position	0.03048
375	39	ASCC_77	Cantat-Gaudin+20	gaia_dr2	0.02944
376	3909	ASCC_77	Bica+18	position	0.1056
377	39	ASCC_77	Bica+18	position	0.03048
378	3909	ASCC_77	Dias+02	position	0.1056
379		ASCC_78	Bica+18	position	
380		ASCC_78	Dias+02	position	
381		ASCC_78	Kharchenko+13	position,hipparcos	
382	40	ASCC_79	Dias+02	position	0.404
383	5507	ASCC_79	Kharchenko+13	hipparcos	0.2754
384	40	ASCC_79	Bica+18	position	0.404
385	5507	ASCC_79	Dias+02	position	0.1609
386	40	ASCC_79	Kharchenko+13	position	0.4679
387	5507	ASCC_79	Bica+18	position	0.1609
388	40	ASCC_79	Kharchenko+13	hipparcos	0.4679
389	5507	ASCC_79	Kharchenko+13	position	0.2754
390	40	ASCC_79	Cantat-Gaudin+20	gaia_dr2	0.3284
391	6317	ASCC_8	Bica+18	position	0.2829
392	6317	ASCC_8	Dias+02	position	0.2829
393		ASCC_80	Bica+18	position	
394		ASCC_80	Kharchenko+13	position,hipparcos	
395		ASCC_80	Dias+02	position	
396		ASCC_81	Bica+18	position	
397		ASCC_81	Kharchenko+13	position,hipparcos	
398		ASCC_81	Dias+02	position	
399		ASCC_82	Kharchenko+13	position,hipparcos	
400		ASCC_82	Dias+02	position	
401		ASCC_82	Bica+18	position	
402		ASCC_83	Dias+02	position	
403		ASCC_83	Kharchenko+13	position,hipparcos	
404		ASCC_83	Bica+18	position	
405	41	ASCC_84	Dias+02	position	0.03422
406	41	ASCC_84	Kharchenko+13	hipparcos	0.04027
407	41	ASCC_84	Kharchenko+13	position	0.04027
408	41	ASCC_84	Bica+18	position	0.03422
409	42	ASCC_85	Kharchenko+13	position	0.08487
410	42	ASCC_85	Kharchenko+13	hipparcos	0.08487
411	42	ASCC_85	Cantat-Gaudin+20	gaia_dr2	0.05277
412	42	ASCC_85	Dias+02	position	0.1165
413	43	ASCC_87	Cantat-Gaudin+20	gaia_dr2	0.05101
414	43	ASCC_87	Kharchenko+13	hipparcos	0.04655
415	43	ASCC_87	Dias+02	position	0.04655
416	43	ASCC_87	Kharchenko+13	position	0.04655
417	43	ASCC_87	Bica+18	position	0.04655
418	44	ASCC_88	Cantat-Gaudin+20	gaia_dr2	0.02976
419	44	ASCC_88	Dias+02	position	0.1332
420	5077	ASCC_88	Dias+02	position	0.2134
421	5077	ASCC_88	Kharchenko+13	hipparcos	0.2298
422	5077	ASCC_88	Kharchenko+13	position	0.2298
423	44	ASCC_88	Kharchenko+13	position	0.1168
424	5	ASCC_9	Dias+02	position	0.07314
425	5	ASCC_9	Kharchenko+13	position	0.07202
426	5	ASCC_9	Kharchenko+13	hipparcos	0.07202
427	5	ASCC_9	Cantat-Gaudin+20	gaia_dr2	0.04215
428	45	ASCC_90	Kharchenko+13	position	0.01499
429	45	ASCC_90	Kharchenko+13	hipparcos	0.01499
430	45	ASCC_90	Dias+02	position	0.02238
431	45	ASCC_90	Bica+18	position	0.02238
432	45	ASCC_90	Cantat-Gaudin+20	gaia_dr2	0.05796
433		ASCC_91	Kharchenko+13	position,hipparcos	
434		ASCC_91	Dias+02	position	
435		ASCC_91	Bica+18	position	
436	83	ASCC_92	Kharchenko+13	position	0.03857
437	83	ASCC_92	Kharchenko+13	hipparcos	0.03857
438	46	ASCC_93	Kharchenko+13	hipparcos	0.1179
439	46	ASCC_93	Kharchenko+13	position	0.1179
440	46	ASCC_93	Dias+02	position	0.1331
441	47	ASCC_94	Kharchenko+13	position	0.0699
442	47	ASCC_94	Dias+02	position	0.08431
443	47	ASCC_94	Bica+18	position	0.08431
444	48	ASCC_95	Kharchenko+13	position	0.1335
445	48	ASCC_95	Dias+02	position	0.1264
446	48	ASCC_95	Kharchenko+13	hipparcos	0.1335
447	1703	ASCC_96	Kharchenko+13	hipparcos	0.01337
448	1703	ASCC_96	Kharchenko+13	position	0.01337
449	88	ASCC_97	Kharchenko+13	position	0.06741
450	88	ASCC_97	Kharchenko+13	hipparcos	0.06741
451	88	ASCC_97	Cantat-Gaudin+20	gaia_dr2	0.03012
452		ASCC_98	Bica+18	position	
453		ASCC_98	Dias+02	position	
454		ASCC_98	Kharchenko+13	position,hipparcos	
455	49	ASCC_99	Cantat-Gaudin+20	gaia_dr2	0.1039
456	116	AT_11	Bica+18	position	0.01946
457	117	AT_12	Bica+18	position	0.05239
458		AT_14	Bica+18	position	
459		AT_16	Bica+18	position	
460	67	AT_21	Bica+18	position	0.03011
461	111	AT_3	Bica+18	position	0.04807
462	66	AT_4	Bica+18	position	0.2054
463	112	AT_5	Bica+18	position	0.04133
464		AT_7	Bica+18	position	
465	113	AT_8	Bica+18	position	0.03098
466	114	AT_9	Bica+18	position	0.06686
467	115	Alessi-Teutsch_10	Dias+02	position	0.2071
468	116	Alessi-Teutsch_11	Cantat-Gaudin+20	gaia_dr2	0.02798
469	116	Alessi-Teutsch_11	Dias+02	position	0.01946
470	117	Alessi-Teutsch_12	Cantat-Gaudin+20	gaia_dr2	0.02709
471	117	Alessi-Teutsch_12	Dias+02	position	0.05239
472	111	Alessi-Teutsch_3	Cantat-Gaudin+20	gaia_dr2	0.04059
473	111	Alessi-Teutsch_3	Dias+02	position	0.04807
474	112	Alessi-Teutsch_5	Dias+02	position	0.04133
475	112	Alessi-Teutsch_5	Cantat-Gaudin+20	gaia_dr2	0.09853
476		Alessi-Teutsch_7	Dias+02	position	
477	113	Alessi-Teutsch_8	Cantat-Gaudin+20	gaia_dr2	0.03194
478	113	Alessi-Teutsch_8	Dias+02	position	0.03098
479	114	Alessi-Teutsch_9	Dias+02	position	0.06686
480	1309	Alessi_1	Kharchenko+13	hipparcos	0.07042
481	1309	Alessi_1	Kharchenko+13	position	0.07042
482	1309	Alessi_1	Cantat-Gaudin+20	gaia_dr2	0.01423
483	74	Alessi_10	Kharchenko+13	position	0.06602
484	74	Alessi_10	Bica+18	position	0.06432
485	74	Alessi_10	Cantat-Gaudin+20	gaia_dr2	0.02626
486	74	Alessi_10	Dias+02	position	0.06432
487	74	Alessi_10	Kharchenko+13	hipparcos	0.06602
488		Alessi_106	Bica+18	position	
489		Alessi_11	Kharchenko+13	position,hipparcos	
490		Alessi_11	Bica+18	position	
491	99	Alessi_116	Bica+18	position	0.04854
492	75	Alessi_12	Bica+18	position	0.2416
493	75	Alessi_12	Kharchenko+13	position	0.2477
494	75	Alessi_12	Cantat-Gaudin+20	gaia_dr2	0.3326
495	75	Alessi_12	Kharchenko+13	hipparcos	0.2477
496	75	Alessi_12	Dias+02	position	0.2634
497		Alessi_129	Bica+18	position	
498	76	Alessi_13	Bica+18	position	0.1349
499	76	Alessi_13	Cantat-Gaudin+20	gaia_dr2	0.1933
500	76	Alessi_13	Dias+02	position	1.373
501	981	Alessi_135	Bica+18	position	0.04932
502	311	Alessi_135	Bica+18	position	0.0764
503		Alessi_138	Bica+18	position	
504		Alessi_139	Bica+18	position	
505		Alessi_14	Bica+18	position	
506		Alessi_14	Kharchenko+13	position,hipparcos	
507	100	Alessi_144	Bica+18	position	0.2285
508	101	Alessi_145	Bica+18	position	0.3874
509		Alessi_146	Bica+18	position	
510		Alessi_147	Bica+18	position	
511		Alessi_15	Dias+02	position	
512		Alessi_15	Cantat-Gaudin+20	gaia_dr2	
513		Alessi_15	Kharchenko+13	position,hipparcos	
514		Alessi_15	Bica+18	position	
515		Alessi_156	Bica+18	position	
516		Alessi_158	Bica+18	position	
517		Alessi_16	Dias+02	position	
518		Alessi_16	Kharchenko+13	position,hipparcos	
519	102	Alessi_161	Bica+18	position	0.01703
520		Alessi_162	Bica+18	position	
521		Alessi_165	Bica+18	position	
522		Alessi_167	Bica+18	position	
523		Alessi_168	Bica+18	position	
524		Alessi_169	Bica+18	position	
525	77	Alessi_17	Kharchenko+13	position	0.006689
526	77	Alessi_17	Bica+18	position	0.007009
527	77	Alessi_17	Cantat-Gaudin+20	gaia_dr2	0.001061
528	77	Alessi_17	Kharchenko+13	hipparcos	0.006689
529	103	Alessi_170	Bica+18	position	0.0227
530		Alessi_173	Bica+18	position	
531		Alessi_175	Bica+18	position	
532		Alessi_176	Bica+18	position	
533		Alessi_177	Bica+18	position	
534		Alessi_179	Bica+18	position	
535		Alessi_18	Dias+02	position	
536		Alessi_18	Kharchenko+13	position,hipparcos	
537		Alessi_18	Bica+18	position	
538		Alessi_18	Cantat-Gaudin+20	gaia_dr2	
539		Alessi_180	Bica+18	position	
540		Alessi_181	Bica+18	position	
541		Alessi_183	Bica+18	position	
542		Alessi_184	Bica+18	position	
543		Alessi_186	Bica+18	position	
544		Alessi_187	Bica+18	position	
545		Alessi_188	Bica+18	position	
546		Alessi_189	Bica+18	position	
547	78	Alessi_19	Kharchenko+13	hipparcos	0.3839
